timestamp_ms,ax,ay,az_raw,az_filt,gx,gy,gz
10,-0.1268,-0.0072,9.6957,9.6472,0.0111,0.0264,0.0409
20,-0.1268,-0.0167,9.6861,9.5895,0.0050,0.0257,0.0376
30,-0.1292,-0.0263,9.6670,9.5225,0.0115,0.0269,0.0392
40,-0.1603,-0.0048,9.7029,9.5106,0.0060,0.0243,0.0396
50,-0.1962,-0.0120,9.6981,9.4583,0.0090,0.0284,0.0402
60,-0.1507,-0.0167,9.7053,9.4181,0.0113,0.0261,0.0402
70,-0.1914,-0.0239,9.7125,9.3782,0.0092,0.0214,0.0417
80,-0.1220,-0.0144,9.7244,9.3432,0.0046,0.0279,0.0397
90,-0.1914,-0.0167,9.7053,9.2774,0.0102,0.0301,0.0405
100,-0.1723,-0.0096,9.6598,9.1858,0.0076,0.0241,0.0444
110,-0.1819,-0.0239,9.6957,9.1756,0.0070,0.0237,0.0426
120,-0.1747,-0.0024,9.6455,9.0797,0.0044,0.0231,0.0350
130,-0.1795,-0.0239,9.7125,9.1010,0.0050,0.0250,0.0385
140,-0.1675,-0.0239,9.6885,9.0317,0.0111,0.0272,0.0408
150,-0.1436,-0.0144,9.7244,9.0222,0.0090,0.0260,0.0382
160,-0.1651,-0.0311,9.7029,8.9557,0.0060,0.0247,0.0383
170,-0.1101,-0.0096,9.7125,8.9204,0.0110,0.0279,0.0389
180,-0.1771,-0.0191,9.7388,8.9020,0.0111,0.0229,0.0371
190,-0.1340,-0.0215,9.6933,8.8123,0.0095,0.0264,0.0403
200,-0.1603,0.0000,9.6766,8.7515,0.0104,0.0290,0.0392
210,-0.1364,-0.0048,9.6957,8.7268,0.0093,0.0243,0.0377
220,-0.1747,0.0000,9.6933,8.6808,0.0053,0.0258,0.0347
230,-0.1292,-0.0048,9.7125,8.6565,0.0075,0.0261,0.0403
240,-0.1531,-0.0120,9.6790,8.5798,0.0079,0.0254,0.0392
250,-0.1292,-0.0287,9.6455,8.5036,0.0092,0.0252,0.0415
260,-0.1507,0.0000,9.6407,8.4563,0.0090,0.0218,0.0411
270,-0.1747,-0.0263,9.6718,8.4450,0.0093,0.0241,0.0363
280,-0.1436,-0.0167,9.7125,8.4433,0.0104,0.0254,0.0403
290,-0.1627,0.0120,9.6718,8.3606,0.0096,0.0275,0.0360
300,-0.1747,-0.0096,9.6646,8.3116,0.0093,0.0231,0.0386
310,-0.1723,0.0024,9.7053,8.3105,0.0061,0.0235,0.0412
320,-0.1842,0.0000,9.7196,8.2833,0.0081,0.0246,0.0405
330,-0.1699,-0.0096,9.7412,8.2633,0.0058,0.0272,0.0379
340,-0.1340,0.0024,9.6718,8.1529,0.0063,0.0244,0.0350
350,-0.1699,-0.0239,9.6742,8.1145,0.0067,0.0234,0.0391
360,-0.1675,-0.0191,9.6670,8.0668,0.0089,0.0260,0.0388
370,-0.1436,-0.0239,9.7005,8.0598,0.0121,0.0260,0.0397
380,-0.1675,-0.0024,9.6790,7.9981,0.0073,0.0249,0.0380
390,-0.1244,-0.0167,9.6526,7.9319,0.0066,0.0276,0.0382
400,-0.1699,-0.0096,9.7149,7.9542,0.0096,0.0249,0.0379
410,-0.1436,-0.0120,9.7292,7.9287,0.0063,0.0238,0.0389
420,-0.1675,-0.0120,9.7268,7.8866,0.0101,0.0261,0.0377
430,-0.1819,-0.0096,9.6861,7.8067,0.0049,0.0206,0.0396
440,-0.1819,-0.0263,9.6550,7.7368,0.0081,0.0264,0.0389
450,-0.1507,-0.0096,9.7077,7.7504,0.0078,0.0243,0.0394
460,-0.1747,-0.0048,9.7149,7.7188,0.0092,0.0243,0.0423
470,-0.1412,-0.0048,9.6909,7.6564,0.0070,0.0255,0.0396
480,-0.1819,-0.0096,9.7005,7.6277,0.0073,0.0283,0.0374
490,-0.2010,-0.0167,9.7005,7.5895,0.0089,0.0261,0.0376
500,-0.1484,-0.0383,9.6694,7.5206,0.0070,0.0247,0.0385
510,-0.1436,-0.0191,9.7244,7.5378,0.0067,0.0244,0.0403
520,-0.1579,-0.0335,9.7125,7.4882,0.0055,0.0241,0.0389
530,-0.1555,-0.0024,9.6550,7.3936,0.0055,0.0249,0.0421
540,-0.1292,-0.0287,9.7125,7.4138,0.0116,0.0263,0.0383
550,-0.1484,-0.0096,9.6766,7.3410,0.0070,0.0246,0.0400
560,-0.1507,0.0048,9.6622,7.2900,0.0061,0.0272,0.0425
570,-0.1053,-0.0072,9.7364,7.3274,0.0050,0.0232,0.0391
580,-0.1699,-0.0167,9.7268,7.2812,0.0053,0.0254,0.0370
590,-0.1747,-0.0167,9.7149,7.2329,0.0118,0.0257,0.0383
600,-0.1412,-0.0407,9.5665,7.0491,0.0082,0.0255,0.0388
610,-0.1914,-0.0479,9.5737,7.0210,0.0092,0.0278,0.0359
620,-0.1077,-0.0024,9.7005,7.1121,0.0124,0.0267,0.0386
630,-0.1460,0.0000,9.6503,7.0265,0.0075,0.0243,0.0379
640,-0.1962,-0.0383,9.6814,7.0224,0.0066,0.0260,0.0368
650,-0.1460,-0.0263,9.6526,6.9587,0.0101,0.0286,0.0380
660,-0.1507,0.0048,9.7077,6.9787,0.0086,0.0261,0.0405
670,-0.1268,-0.0072,9.6885,6.9247,0.0055,0.0260,0.0409
680,-0.1890,-0.0311,9.6694,6.8710,0.0081,0.0261,0.0356
690,-0.1747,0.0000,9.6526,6.8200,0.0076,0.0249,0.0362
700,-0.1866,0.0024,9.7244,6.8573,0.0079,0.0261,0.0382
710,-0.1914,-0.0215,9.6861,6.7850,0.0072,0.0244,0.0400
720,-0.1627,-0.0167,9.6455,6.7106,0.0075,0.0266,0.0368
730,-0.1125,-0.0072,9.6885,6.7199,0.0061,0.0273,0.0399
740,-0.1460,-0.0359,9.6981,6.6958,0.0078,0.0257,0.0367
750,-0.1172,-0.0287,9.6790,6.6433,0.0128,0.0226,0.0389
760,-0.0957,-0.0096,9.7053,6.6362,0.0079,0.0234,0.0371
770,-0.1603,-0.0359,9.6646,6.5626,0.0079,0.0250,0.0394
780,-0.1364,-0.0383,9.7053,6.5702,0.0063,0.0279,0.0348
790,-0.1484,-0.0048,9.6814,6.5136,0.0063,0.0229,0.0380
800,-0.1244,-0.0048,9.6909,6.4905,0.0076,0.0254,0.0386
810,-0.1531,-0.0263,9.6838,6.4509,0.0098,0.0258,0.0403
820,-0.1866,-0.0287,9.7125,6.4473,0.0063,0.0318,0.0408
830,-0.1603,-0.0215,9.6885,6.3912,0.0072,0.0264,0.0359
840,-0.2034,-0.0167,9.7077,6.3783,0.0105,0.0286,0.0392
850,-0.1555,-0.0239,9.7555,6.3940,0.0057,0.0231,0.0399
860,-0.1747,-0.0263,9.6670,6.2740,0.0073,0.0228,0.0402
870,-0.1436,-0.0215,9.6742,6.2497,0.0075,0.0261,0.0405
880,-0.1795,-0.0120,9.6550,6.1994,0.0107,0.0264,0.0351
890,-0.1819,-0.0239,9.7149,6.2280,0.0111,0.0276,0.0388
900,-0.1340,-0.0455,9.6742,6.1564,0.0107,0.0234,0.0377
910,-0.1507,-0.0167,9.7196,6.1708,0.0069,0.0267,0.0409
920,-0.1388,-0.0239,9.6694,6.0900,0.0027,0.0264,0.0365
930,-0.1507,-0.0239,9.7220,6.1119,0.0093,0.0287,0.0362
940,-0.2130,-0.0120,9.6814,6.0409,0.0110,0.0254,0.0377
950,-0.1436,0.0000,9.6766,6.0059,0.0090,0.0267,0.0403
960,-0.1627,-0.0048,9.6670,5.9663,0.0098,0.0241,0.0409
970,-0.1747,0.0120,9.7149,5.9841,0.0078,0.0298,0.0385
980,-0.1747,0.0072,9.7292,5.9685,0.0096,0.0267,0.0415
990,-0.1484,-0.0024,9.6742,5.8839,0.0090,0.0289,0.0370
1000,-0.1507,-0.0167,9.6885,5.8688,0.0078,0.0252,0.0371
1092,-0.1627,0.0120,9.6455,5.7966,0.0086,0.0287,0.0382
1102,-0.1675,-0.0048,9.6598,5.7819,0.0081,0.0275,0.0391
1112,-0.1507,0.0000,9.6790,5.7720,0.0096,0.0264,0.0365
1122,-0.1603,-0.0239,9.6742,5.7384,0.0119,0.0258,0.0394
1132,-0.1531,-0.0096,9.7292,5.7644,0.0060,0.0243,0.0389
1142,-0.1340,-0.0096,9.6574,5.6642,0.0095,0.0281,0.0368
1152,-0.1627,-0.0048,9.6885,5.6668,0.0069,0.0269,0.0388
1162,-0.1507,-0.0072,9.7173,5.6671,0.0086,0.0270,0.0362
1172,-0.1627,-0.0072,9.7364,5.6578,0.0035,0.0269,0.0009
1182,-0.1842,-0.0072,9.7053,5.5985,0.0081,0.0257,0.0389
1192,-0.1412,-0.0167,9.6766,5.5420,0.0113,0.0255,0.0386
1202,-0.1819,-0.0096,9.6885,5.5262,0.0087,0.0223,0.0397
1212,-0.1795,-0.0120,9.7101,5.5200,0.0058,0.0243,0.0377
1222,-0.1795,-0.0191,9.6957,5.4781,0.0093,0.0278,0.0373
1232,-0.1507,-0.0167,9.7412,5.4959,0.0041,0.0270,0.0394
1242,-0.1914,-0.0239,9.6838,5.4113,0.0055,0.0220,0.0382
1252,-0.1651,-0.0120,9.6742,5.3747,0.0078,0.0267,0.0383
1262,-0.1292,-0.0239,9.6718,5.3455,0.0095,0.0232,0.0389
1272,-0.1340,-0.0191,9.7173,5.3640,0.0049,0.0250,0.0374
1282,-0.1244,-0.0287,9.6646,5.2848,0.0078,0.0232,0.0400
1292,-0.1699,-0.0096,9.6694,5.2631,0.0073,0.0223,0.0368
1302,-0.1675,-0.0167,9.6407,5.2082,0.0128,0.0260,0.0392
1312,-0.1364,0.0000,9.7244,5.2655,0.0090,0.0237,0.0773
1322,-0.1723,-0.0096,9.7268,5.2416,0.0082,0.0269,0.0400
1332,-0.1412,-0.0287,9.7149,5.2035,0.0099,0.0290,0.0365
1342,-0.1292,-0.0096,9.6766,5.1393,0.0055,0.0237,0.0412
1352,-0.1675,-0.0120,9.7053,5.1422,0.0110,0.0298,0.0408
1362,-0.1890,-0.0263,9.7149,5.1260,0.0070,0.0260,0.0389
1372,-0.1436,-0.0239,9.7053,5.0909,0.0113,0.0221,0.0396
1382,-0.1484,-0.0072,9.7220,5.0821,0.0078,0.0269,0.0415
1392,-0.1771,-0.0072,9.6790,5.0138,0.0079,0.0243,0.0402
1402,-0.1627,-0.0191,9.6503,4.9602,0.0044,0.0295,0.0374
1412,-0.1938,-0.0526,9.6814,4.9663,0.0108,0.0293,0.0389
1422,-0.1244,0.0000,9.6526,4.9129,0.0079,0.0281,0.0383
1432,-0.1484,-0.0048,9.6335,4.8693,0.0057,0.0261,0.0406
1442,-0.1890,-0.0048,9.6526,4.8640,0.0058,0.0264,0.0360
1452,-0.1795,-0.0167,9.6407,4.8278,0.0060,0.0255,0.0392
1462,-0.1627,-0.0048,9.6718,4.8346,0.0076,0.0263,0.0418
1472,-0.1938,-0.0072,9.6790,4.8176,0.0099,0.0254,0.0403
1482,-0.1436,-0.0263,9.7053,4.8197,0.0104,0.0258,0.0403
1492,-0.1460,-0.0383,9.7316,4.8218,0.0069,0.0266,0.0394
1502,-0.1436,-0.0167,9.6957,4.7619,0.0078,0.0257,0.0382
1512,-0.1340,-0.0239,9.6718,4.7143,0.0090,0.0241,0.0360
1522,-0.1268,-0.0144,9.7101,4.7289,0.0134,0.0293,0.0409
1532,-0.1603,-0.0263,9.6885,4.6838,0.0089,0.0249,0.0385
1542,-0.1340,-0.0167,9.7412,4.7127,0.0038,0.0229,0.0392
1552,-0.1651,-0.0311,9.6766,4.6249,0.0116,0.0243,0.0362
