# ATP-2 IMU Static Accuracy
phase,sample,az_raw,az_filt,timestamp_ms
FLAT,1,9.7388,0.8432,8200
FLAT,2,9.6885,0.7889,8230
FLAT,3,9.7005,0.7969,8257
FLAT,4,9.7053,0.7977,8288
FLAT,5,9.7149,0.8032,8315
FLAT,6,9.7173,0.8016,8345
FLAT,7,9.6718,0.7523,8373
FLAT,8,9.6933,0.7700,8403
FLAT,9,9.8895,0.9614,8431
FLAT,10,9.7292,0.7971,8461
FLAT,11,9.6861,0.7502,8489
FLAT,12,9.7508,0.8108,8519
FLAT,13,9.7005,0.7567,8547
FLAT,14,9.6885,0.7410,8577
FLAT,15,9.7292,0.7778,8605
FLAT,16,9.6885,0.7334,8635
FLAT,17,9.6981,0.7393,8663
FLAT,18,9.7077,0.7451,8697
FLAT,19,9.7173,0.7509,8724
FLAT,20,9.6981,0.7281,8752
FLAT,21,9.6814,0.7078,8780
FLAT,22,9.6957,0.7185,8808
FLAT,23,9.7196,0.7388,8835
FLAT,24,9.6622,0.6779,8863
FLAT,25,9.7125,0.7245,8891
FLAT,26,9.7005,0.7090,8919
FLAT,27,9.6933,0.6983,8946
FLAT,28,9.7220,0.7234,8974
FLAT,29,9.7508,0.7483,9002
FLAT,30,9.7460,0.7398,9030
FLAT,31,9.6861,0.6766,9057
FLAT,32,9.7005,0.6875,9085
FLAT,33,9.7077,0.6912,9113
FLAT,34,9.7125,0.6925,9141
FLAT,35,9.7603,0.7367,9168
FLAT,36,9.7005,0.6735,9200
FLAT,37,9.7053,0.6749,9229
FLAT,38,9.7005,0.6667,9255
FLAT,39,9.6766,0.6396,9284
FLAT,40,9.7220,0.6816,9311
FLAT,41,9.7077,0.6639,9340
FLAT,42,9.7029,0.6559,9366
FLAT,43,9.7316,0.6812,9395
FLAT,44,9.7244,0.6706,9422
FLAT,45,9.6861,0.6292,9451
FLAT,46,9.7651,0.7046,9477
FLAT,47,9.7149,0.6511,9506
FLAT,48,9.7244,0.6573,9533
FLAT,49,9.7101,0.6398,9562
FLAT,50,9.7340,0.6604,9588
FLAT,51,9.7149,0.6380,9617
FLAT,52,9.7268,0.6467,9644
FLAT,53,9.6861,0.6030,9673
FLAT,54,9.7053,0.6191,9704
FLAT,55,9.6598,0.5707,9732
FLAT,56,9.6814,0.5893,9760
FLAT,57,9.7316,0.6363,9788
FLAT,58,9.7484,0.6498,9815
FLAT,59,9.6790,0.5775,9843
FLAT,60,9.6909,0.5866,9871
FLAT,61,9.6957,0.5884,9899
FLAT,62,9.6431,0.5331,9926
FLAT,63,9.7531,0.6399,9954
FLAT,64,9.7364,0.6201,9982
FLAT,65,9.6861,0.5670,10010
FLAT,66,9.7866,0.6641,10037
FLAT,67,9.6263,0.5013,10065
FLAT,68,9.6933,0.5654,10093
FLAT,69,9.7460,0.6150,10121
FLAT,70,9.7292,0.5952,10148
FLAT,71,9.7077,0.5708,10176
FLAT,72,9.6598,0.5204,10209
FLAT,73,9.6933,0.5511,10235
FLAT,74,9.7029,0.5579,10264
FLAT,75,9.7316,0.5836,10291
FLAT,76,9.7029,0.5522,10320
FLAT,77,9.7460,0.5923,10346
FLAT,78,9.6742,0.5179,10375
FLAT,79,9.7101,0.5510,10402
FLAT,80,9.6646,0.5030,10431
FLAT,81,9.6861,0.5219,10457
FLAT,82,9.6431,0.4764,10486
FLAT,83,9.7053,0.5360,10512
FLAT,84,9.7747,0.6023,10541
FLAT,85,9.7268,0.5517,10567
FLAT,86,9.7077,0.5299,10597
FLAT,87,9.6694,0.4892,10623
FLAT,88,9.6838,0.5010,10649
FLAT,89,9.7173,0.5318,10675
FLAT,90,9.7101,0.5220,10713
FLAT,91,9.7508,0.5599,10763
FLAT,92,9.7292,0.5357,10817
FLAT,93,9.7077,0.5116,10846
FLAT,94,9.6909,0.4923,10898
FLAT,95,9.7771,0.5756,10950
FLAT,96,9.7005,0.4965,10979
FLAT,97,9.6933,0.4869,11032
FLAT,98,9.6742,0.4654,11085
FLAT,99,9.7268,0.5155,11114
FLAT,100,9.6838,0.4700,11166
# FLAT_MEAN,9.7094,PASS
