# ATP-2 IMU Static Accuracy
phase,sample,az_raw,az_filt,timestamp_ms
FLAT,1,9.7412,0.8446,8260
FLAT,2,9.7220,0.8214,8290
FLAT,3,9.7244,0.8196,8318
FLAT,4,9.7364,0.8274,8348
FLAT,5,9.7364,0.8233,8376
FLAT,6,9.7292,0.8120,8406
FLAT,7,9.6909,0.7699,8435
FLAT,8,9.6981,0.7732,8465
FLAT,9,9.7316,0.8026,8493
FLAT,10,9.6814,0.7486,8523
FLAT,11,9.6790,0.7425,8573
FLAT,12,9.6909,0.7507,8603
FLAT,13,9.6957,0.7517,8631
FLAT,14,9.7149,0.7670,8661
FLAT,15,9.6957,0.7441,8690
FLAT,16,9.7149,0.7594,8720
FLAT,17,9.7364,0.7771,8748
FLAT,18,9.7173,0.7541,8782
FLAT,19,9.7412,0.7742,8810
FLAT,20,9.7292,0.7584,8838
FLAT,21,9.6981,0.7237,8865
FLAT,22,9.7077,0.7296,8894
FLAT,23,9.7149,0.7331,8921
FLAT,24,9.7340,0.7484,8949
FLAT,25,9.7364,0.7471,8977
FLAT,26,9.7244,0.7314,9005
FLAT,27,9.6646,0.6683,9033
FLAT,28,9.7244,0.7244,9061
FLAT,29,9.7101,0.7065,9089
FLAT,30,9.7125,0.7054,9117
FLAT,31,9.7340,0.7233,9144
FLAT,32,9.7244,0.7101,9172
FLAT,33,9.7292,0.7114,9200
FLAT,34,9.7149,0.6935,9228
FLAT,35,9.6909,0.6662,9255
FLAT,36,9.7364,0.7081,9287
FLAT,37,9.7196,0.6879,9316
FLAT,38,9.7220,0.6869,9343
FLAT,39,9.7292,0.6906,9372
FLAT,40,9.7173,0.6752,9399
FLAT,41,9.7053,0.6599,9428
FLAT,42,9.7077,0.6590,9454
FLAT,43,9.7268,0.6748,9483
FLAT,44,9.7149,0.6595,9510
FLAT,45,9.6909,0.6324,9539
FLAT,46,9.6909,0.6292,9566
FLAT,47,9.7101,0.6451,9595
FLAT,48,9.7220,0.6538,9621
FLAT,49,9.7388,0.6672,9650
FLAT,50,9.7340,0.6591,9677
FLAT,51,9.7173,0.6391,9706
FLAT,52,9.7149,0.6336,9733
FLAT,53,9.7316,0.6471,9762
FLAT,54,9.7555,0.6676,9793
FLAT,55,9.7460,0.6548,9821
FLAT,56,9.7460,0.6515,9849
FLAT,57,9.7460,0.6483,9877
FLAT,58,9.7244,0.6236,9905
FLAT,59,9.7627,0.6586,9954
FLAT,60,9.7555,0.6481,9982
FLAT,61,9.7484,0.6377,10010
FLAT,62,9.7316,0.6179,10038
FLAT,63,9.7220,0.6053,10066
FLAT,64,9.6718,0.5522,10094
FLAT,65,9.6957,0.5733,10122
FLAT,66,9.7220,0.5966,10149
FLAT,67,9.7316,0.6032,10177
FLAT,68,9.7077,0.5763,10205
FLAT,69,9.7436,0.6092,10233
FLAT,70,9.7053,0.5680,10261
FLAT,71,9.7699,0.6295,10289
FLAT,72,9.7460,0.6025,10322
FLAT,73,9.7196,0.5733,10349
FLAT,74,9.7436,0.5943,10378
FLAT,75,9.7244,0.5722,10404
FLAT,76,9.7196,0.5646,10433
FLAT,77,9.7005,0.5427,10460
FLAT,78,9.7340,0.5734,10489
FLAT,79,9.7173,0.5538,10515
FLAT,80,9.7220,0.5558,10544
FLAT,81,9.6981,0.5292,10571
FLAT,82,9.7220,0.5504,10600
FLAT,83,9.7484,0.5738,10626
FLAT,84,9.6814,0.5043,10655
FLAT,85,9.7531,0.5732,10682
FLAT,86,9.7340,0.5513,10711
FLAT,87,9.7244,0.5390,10737
FLAT,88,9.7077,0.5196,10766
FLAT,89,9.6838,0.4932,10793
FLAT,90,9.7412,0.5479,10825
FLAT,91,9.6742,0.4785,10853
FLAT,92,9.6981,0.4999,10881
FLAT,93,9.6981,0.4974,10909
FLAT,94,9.6574,0.4545,10936
FLAT,95,9.6909,0.4855,10964
FLAT,96,9.6885,0.4807,10992
FLAT,97,9.7316,0.5212,11020
FLAT,98,9.6790,0.4662,11047
FLAT,99,9.7173,0.5020,11075
FLAT,100,9.7053,0.4875,11103
# FLAT_MEAN,9.7180,PASS
45DEG,1,6.8913,-0.1491,57812
45DEG,2,7.0301,-0.0102,57839
45DEG,3,7.3029,0.2612,57867
45DEG,4,7.1426,0.1004,57895
45DEG,5,7.0110,-0.0310,57923
45DEG,6,6.9177,-0.1237,57955
45DEG,7,7.1713,0.1293,57982
45DEG,8,7.1306,0.0881,58011
45DEG,9,7.0325,-0.0099,58037
45DEG,10,7.0086,-0.0337,58066
45DEG,11,7.2239,0.1808,58093
45DEG,12,7.0493,0.0061,58122
45DEG,13,6.9631,-0.0797,58149
45DEG,14,6.8698,-0.1721,58178
45DEG,15,7.1306,0.0882,58204
45DEG,16,7.0971,0.0545,58233
45DEG,17,7.0851,0.0423,58260
45DEG,18,7.0397,-0.0032,58289
45DEG,19,7.0038,-0.0388,58315
45DEG,20,7.1234,0.0804,58344
45DEG,21,7.1569,0.1133,58371
45DEG,22,6.9894,-0.0539,58400
45DEG,23,6.9751,-0.0679,58431
45DEG,24,6.9823,-0.0604,58459
45DEG,25,7.0971,0.0541,58487
45DEG,26,7.0780,0.0348,58514
45DEG,27,7.0995,0.0561,58542
45DEG,28,7.0086,-0.0347,58570
45DEG,29,7.0205,-0.0226,58598
45DEG,30,7.2215,0.1775,58626
45DEG,31,7.1952,0.1504,58653
45DEG,32,6.9392,-0.1051,58681
45DEG,33,6.8794,-0.1641,58709
45DEG,34,7.0229,-0.0204,58737
45DEG,35,7.2168,0.1726,58764
45DEG,36,7.1474,0.1026,58792
45DEG,37,6.9511,-0.0931,58820
45DEG,38,6.9679,-0.0760,58848
45DEG,39,7.1833,0.1387,58875
45DEG,40,7.4154,0.3689,58907
45DEG,41,7.0732,0.0266,58936
45DEG,42,6.9631,-0.0830,58962
45DEG,43,7.0301,-0.0159,58991
45DEG,44,6.8172,-0.2278,59018
45DEG,45,6.9775,-0.0671,59047
45DEG,46,7.0875,0.0428,59073
45DEG,47,7.1689,0.1235,59102
45DEG,48,7.0564,0.0110,59129
45DEG,49,7.0349,-0.0105,59158
45DEG,50,7.1426,0.0967,59185
45DEG,51,7.0923,0.0462,59214
45DEG,52,7.0660,0.0198,59240
45DEG,53,7.0062,-0.0398,59269
45DEG,54,7.1354,0.0889,59296
45DEG,55,6.9368,-0.1091,59325
45DEG,56,6.9727,-0.0729,59351
45DEG,57,7.2981,0.2513,59384
45DEG,58,7.0325,-0.0142,59412
45DEG,59,6.9248,-0.1213,59439
45DEG,60,7.0493,0.0031,59467
45DEG,61,7.1115,0.0650,59495
45DEG,62,7.0277,-0.0187,59523
45DEG,63,7.1115,0.0648,59551
45DEG,64,7.2120,0.1644,59578
45DEG,65,7.1665,0.1184,59606
45DEG,66,6.9846,-0.0632,59634
45DEG,67,6.9535,-0.0938,59662
45DEG,68,7.1330,0.0852,59689
45DEG,69,7.1210,0.0729,59717
45DEG,70,7.0828,0.0344,59745
45DEG,71,7.0397,-0.0086,59773
45DEG,72,6.9464,-0.1014,59800
45DEG,73,7.1163,0.0682,59828
45DEG,74,7.0301,-0.0179,59861
45DEG,75,6.9966,-0.0511,59887
45DEG,76,7.0947,0.0467,59916
45DEG,77,7.1545,0.1060,59943
45DEG,78,7.0373,-0.0112,59972
45DEG,79,6.8459,-0.2016,59998
45DEG,80,6.9009,-0.1458,60027
