timestamp_ms,ax,ay,az_raw,az_filt,gx,gy,gz
10,-0.2273,-0.0359,9.4205,9.3734,-0.0021,0.0269,0.0296
20,-0.2369,-0.0359,9.4229,9.3290,0.0365,0.0235,0.0301
30,-0.2608,-0.0191,9.4373,9.2966,-0.0006,0.0247,0.0281
40,-0.2608,-0.0120,9.4899,9.3025,-0.0082,0.0252,0.0289
50,-0.2082,-0.0072,9.5115,9.2774,-0.0063,0.0325,0.0286
60,-0.2417,-0.0144,9.4062,9.1263,-0.0027,0.0318,0.0267
70,-0.2297,-0.0191,9.5043,9.1782,-0.0031,0.0255,0.0292
80,-0.2297,-0.0191,9.5067,9.1347,-0.0020,0.0315,0.0281
90,-0.2512,-0.0526,9.5617,9.1438,-0.0041,0.0270,0.0316
100,-0.2034,-0.0502,9.5043,9.0410,-0.0008,0.0235,0.0325
110,-0.2130,-0.0359,9.4947,8.9862,-0.0005,0.0228,0.0263
120,-0.2512,-0.0335,9.4971,8.9437,-0.0040,0.0252,0.0299
130,-0.2369,-0.0144,9.5593,8.9609,-0.0038,0.0263,0.0292
140,-0.2130,-0.0167,9.5115,8.8684,-0.0024,0.0231,0.0255
150,-0.2465,-0.0383,9.4756,8.7884,-0.0047,0.0279,0.0324
160,-0.2345,-0.0191,9.5019,8.7706,-0.0014,0.0279,0.0284
170,-0.2871,-0.0239,9.5689,8.7935,-0.0005,0.0286,0.0298
180,-0.2584,-0.0598,9.5115,8.6923,-0.0027,0.0278,0.0301
190,-0.2632,-0.0311,9.5426,8.6798,-0.0038,0.0276,0.0270
200,-0.2082,-0.0191,9.5330,8.6269,-0.0018,0.0249,0.0301
210,-0.2201,-0.0287,9.4995,8.5504,-0.0021,0.0267,0.0299
220,-0.2058,-0.0167,9.5282,8.5363,-0.0037,0.0264,0.0267
230,-0.2273,-0.0144,9.5426,8.5079,-0.0043,0.0301,0.0261
240,-0.1986,-0.0263,9.5426,8.4653,-0.0006,0.0260,0.0295
250,-0.2058,-0.0144,9.5498,8.4301,-0.0027,0.0266,0.0269
260,-0.2752,-0.0407,9.5450,8.3832,-0.0058,0.0272,0.0301
270,-0.2369,-0.0311,9.5545,8.3508,-0.0029,0.0273,0.0304
280,-0.2489,-0.0215,9.5354,8.2900,-0.0053,0.0264,0.0304
290,-0.2465,-0.0287,9.5450,8.2581,-0.0032,0.0272,0.0290
300,-0.2225,-0.0287,9.5737,8.2454,-0.0046,0.0270,0.0283
310,-0.2465,-0.6078,9.5809,8.2113,-0.0076,0.0290,0.0269
320,-0.2321,-0.0167,9.5091,8.0988,0.0009,0.0263,0.0305
330,-0.2560,-0.0167,9.5856,8.1345,0.0000,0.0284,0.0286
340,-0.2608,-0.0431,9.5665,8.0748,-0.0063,0.0261,0.0260
350,-0.2441,-0.0885,9.5641,8.0320,-0.0037,0.0254,0.0307
360,-0.2297,-0.0311,9.5545,7.9824,-0.0035,0.0258,0.0279
370,-0.2130,-0.0287,9.5545,7.9424,-0.0061,0.0250,0.0298
380,-0.2489,-0.0120,9.5330,7.8813,-0.0050,0.0270,0.0258
390,-0.1795,-0.0096,9.5761,7.8848,-0.0012,0.0273,0.0307
400,-0.2130,-0.0191,9.6168,7.8858,-0.0095,0.0301,0.0313
410,-0.2201,-0.0455,9.5928,7.8226,-0.0002,0.0260,0.0299
420,-0.2130,-0.0215,9.5904,7.7811,-0.0012,0.0238,0.0298
430,-0.2536,-0.0455,9.5809,7.7326,-0.0038,0.0257,0.0283
440,-0.2417,-0.0431,9.5641,7.6773,-0.0009,0.0240,0.0261
450,-0.2201,-0.0287,9.5761,7.6508,-0.0009,0.0254,0.0307
460,-0.2297,-0.0311,9.5856,7.6221,-0.0005,0.0287,0.0305
470,-0.2345,-0.0072,9.5761,7.5745,-0.0032,0.0243,0.0312
480,-0.2273,-0.0215,9.5306,7.4914,-0.0038,0.0244,0.0283
490,-0.2465,-0.0144,9.5928,7.5158,0.0006,0.0261,0.0302
500,-0.2345,-0.0263,9.6215,7.5068,-0.0024,0.0261,0.0270
510,-0.2249,-0.0431,9.6048,7.4526,-0.0060,0.0257,0.0276
520,-0.2441,-0.0120,9.5928,7.4034,-0.0014,0.0234,0.0293
530,-0.2417,-0.0072,9.5928,7.3664,-0.0049,0.0243,0.0279
540,-0.2201,-0.0167,9.6215,7.3582,-0.0031,0.0276,0.0305
550,-0.2106,-0.0072,9.5856,7.2857,-0.0049,0.0252,0.0287
560,-0.2728,-0.0239,9.6120,7.2754,-0.0032,0.0292,0.0293
570,-0.2225,-0.0096,9.6048,7.2319,-0.0053,0.0267,0.0279
580,-0.2082,-0.0646,9.6168,7.2076,-0.0090,0.0284,0.0281
590,-0.2249,-0.0479,9.6144,7.1692,-0.0009,0.0257,0.0292
600,-0.2512,-0.0359,9.5928,7.1119,-0.0040,0.0258,0.0293
610,-0.2560,-0.0287,9.5450,7.0288,-0.0066,0.0255,0.0273
620,-0.2608,-0.0167,9.5569,7.0055,-0.0060,0.0261,0.0327
630,-0.2369,-0.0120,9.5880,7.0015,-0.0037,0.0304,0.0266
640,-0.2369,-0.0120,9.6239,7.0022,-0.0043,0.0258,0.0279
650,-0.2130,-0.0311,9.5617,6.9052,-0.0034,0.0292,0.0273
660,-0.2393,-0.0287,9.5833,6.8921,-0.0050,0.0226,0.0255
670,-0.2632,-0.0359,9.6335,6.9077,-0.0031,0.0270,0.0328
680,-0.2489,-0.0431,9.6359,6.8755,-0.0023,0.0292,0.0305
690,-0.2297,-0.0502,9.6359,6.8412,-0.0055,0.0287,0.0289
700,-0.2177,-0.0622,9.5258,6.6974,-0.0008,0.0266,0.0286
710,-0.2297,-0.0048,9.5785,6.7163,-0.0067,0.0237,0.0269
720,-0.2584,0.0024,9.6622,6.7661,-0.0052,0.0264,0.0319
730,-0.2345,-0.0287,9.6168,6.6870,-0.0031,0.0270,0.0301
740,-0.1890,-0.0024,9.6120,6.6488,-0.0015,0.0234,0.0281
750,-0.2441,-0.0502,9.6431,6.6465,-0.0037,0.0254,0.0318
