# ATP-3 TAP TEST
timestamp_ms,ax,ay,az_raw,az_filt,gx,gy,gz
10,-0.2871,-0.0287,9.4469,9.3996,-0.0026,0.0214,0.0264
20,-0.2441,-0.0191,9.4277,9.3336,-0.0069,0.0279,0.0279
30,-0.2249,-0.0359,9.4636,9.3226,-0.0020,0.0247,0.0249
40,-0.2345,-0.0239,9.4493,9.2617,-0.0060,0.0246,0.0275
50,-0.2441,-0.0167,9.4708,9.2368,-0.0040,0.0261,0.0272
60,-0.2680,-0.0167,9.5091,9.2288,-0.0047,0.0281,0.0287
70,-0.2369,-0.0431,9.4780,9.1517,-0.0050,0.0263,0.0279
80,-0.2776,-0.0167,9.4397,9.0678,-0.0035,0.0273,0.0241
90,-0.2273,-0.0263,9.4995,9.0820,-0.0049,0.0257,0.0281
100,-0.2369,-0.0335,9.5139,9.0509,-0.0008,0.0304,0.0267
110,-0.2608,-0.0239,9.5186,9.0104,-0.0012,0.0258,0.0261
120,-0.1890,-0.0383,9.5067,8.9534,-0.0009,0.0254,0.0269
130,-0.2632,-0.0550,9.4995,8.9015,-0.0027,0.0275,0.0295
140,-0.2369,-0.0191,9.4588,8.8165,-0.0032,0.0266,0.0295
150,-0.2489,-0.0096,9.5234,8.8367,-0.0053,0.0267,0.0254
160,-0.2752,-0.0335,9.4875,8.7568,-0.0014,0.0287,0.0255
170,-0.2249,-0.0359,9.5354,8.7607,-0.0050,0.0254,0.0289
180,-0.2393,-0.0335,9.5067,8.6883,-0.0043,0.0267,0.0298
190,-0.2465,-0.0263,9.5498,8.6877,-0.0066,0.0279,0.0275
200,-0.2752,-0.0191,9.5354,8.6300,-0.0046,0.0250,0.0260
210,-0.2560,-0.0167,9.5091,8.5606,-0.0008,0.0302,0.0276
220,-0.2417,-0.0359,9.5330,8.5417,-0.0050,0.0278,0.0287
230,-0.2489,-0.0407,9.5545,8.5204,-0.0052,0.0272,0.0255
240,-0.2273,-0.0215,9.5378,8.4611,-0.0079,0.0254,0.0278
250,-0.2656,-0.0335,9.5139,8.3950,-0.0038,0.0272,0.0258
260,-0.2297,-0.0359,9.5043,8.3435,-0.0057,0.0232,0.0258
270,-0.2273,-0.0479,9.5258,8.3232,-0.0027,0.0289,0.0261
280,-0.2584,-0.0215,9.5498,8.3054,-0.0011,0.0250,0.0296
290,-0.2608,-0.0287,9.5091,8.2234,-0.0043,0.0278,0.0324
300,-0.2560,-0.0167,9.5378,8.2108,-0.0002,0.0240,0.0316
310,-0.2201,-0.0120,9.5067,8.1388,-0.0029,0.0252,0.0266
320,-0.2369,-0.0263,9.5545,8.1458,-0.0029,0.0267,0.0304
330,-0.2752,-0.0167,9.5115,8.0622,-0.0066,0.0299,0.0298
340,-0.2536,-0.0287,9.5258,8.0362,-0.0023,0.0289,0.0276
350,-0.2369,-0.0598,9.5665,8.0364,-0.0043,0.0273,0.0286
360,-0.2201,-0.0359,9.5545,7.9844,-0.0002,0.0322,0.0272
370,-0.2560,-0.0287,9.5952,7.9849,-0.0052,0.0208,0.0249
380,-0.2680,-0.0144,9.5689,7.9188,-0.0024,0.0281,0.0292
390,-0.2106,-0.0287,9.5689,7.8792,-0.0005,0.0257,0.0278
400,-0.2728,-0.0335,9.5952,7.8660,-0.0032,0.0243,0.0284
410,-0.2560,-0.0383,9.5498,7.7814,-0.0049,0.0260,0.0322
420,-0.2728,-0.0287,9.5976,7.7901,-0.0046,0.0267,0.0269
430,-0.2632,-0.0407,9.5163,7.6702,-0.0012,0.0260,0.0312
440,-0.2584,-0.0263,9.5258,7.6414,-0.0035,0.0258,0.0258
450,-0.2656,-0.0239,9.5785,7.6556,-0.0029,0.0279,0.0276
460,-0.2800,-0.0359,9.5545,7.5935,-0.0043,0.0278,0.0289
470,-0.2560,-0.0479,9.5713,7.5722,-0.0008,0.0272,0.0267
480,-0.2512,-0.0215,9.6072,7.5700,-0.0021,0.0258,0.0254
490,-0.2297,-0.0311,9.5880,7.5131,-0.0035,0.0286,0.0283
500,-0.2417,-0.0215,9.5713,7.4589,-0.0018,0.0298,0.0257
510,-0.2584,-0.0239,9.5498,7.4002,0.0005,0.0273,0.0278
520,-0.2608,-0.0359,9.5641,7.3775,-0.0015,0.0267,0.0289
530,-0.2249,-0.0311,9.5737,7.3501,-0.0015,0.0318,0.0292
540,-0.2297,-0.0239,9.5498,7.2896,-0.0005,0.0269,0.0255
550,-0.2704,-0.0287,9.5737,7.2769,-0.0026,0.0250,0.0261
560,-0.2800,-0.0335,9.6048,7.2715,-0.0057,0.0264,0.0278
570,-0.2393,-0.0311,9.6239,7.2542,-0.0012,0.0267,0.0276
580,-0.2393,-0.0455,9.6168,7.2108,-0.0021,0.0221,0.0307
590,-0.2297,-0.0526,9.6072,7.1652,-0.0012,0.0257,0.0283
600,-0.2536,-0.0048,9.5952,7.1174,-0.0376,0.0312,0.0260
610,-0.2608,-0.0191,9.6072,7.0938,-0.0044,0.0290,0.0270
620,-0.2249,-0.0167,9.5809,7.0321,-0.0024,0.0260,0.0269
630,-0.2249,-0.0191,9.5976,7.0136,-0.0031,0.0304,0.0325
640,-0.2632,-0.0359,9.5856,6.9666,-0.0060,0.0250,0.0299
650,-0.2345,-0.0120,9.6168,6.9628,-0.0032,0.0261,0.0261
660,-0.2512,-0.0263,9.6096,6.9208,-0.0041,0.0232,0.0263
670,-0.2752,-0.0120,9.6359,6.9124,-0.0021,0.0284,0.0284
680,-0.2321,-0.0191,9.6000,6.8421,-0.0020,0.0287,0.0292
690,-0.2560,-0.0431,9.5880,6.7960,-0.0017,0.0318,0.0260
700,-0.2560,-0.0359,9.5809,6.7549,0.0006,0.0261,0.0270
710,-0.2249,-0.0311,9.6072,6.7473,-0.0371,0.0252,0.0272
720,-0.2393,-0.0383,9.5617,6.6683,-0.0031,0.0281,0.0301
730,-0.2249,-0.0167,9.6503,6.7231,-0.0035,0.0260,0.0296
740,-0.2776,-0.0263,9.6144,6.6537,-0.0052,0.0305,0.0308
750,-0.2560,-0.0335,9.5809,6.5871,-0.0026,0.0278,0.0301
760,-0.2632,-0.0359,9.6024,6.5756,-0.0053,0.0260,0.0302
770,-0.2800,-0.0072,9.6000,6.5404,-0.0012,0.0290,0.0290
780,-0.2536,-0.0239,9.6383,6.5458,-0.0018,0.0252,0.0275
790,-0.2728,-0.0311,9.6311,6.5059,-0.0027,0.0249,0.0267
800,-0.2560,-0.0191,9.6024,6.4448,-0.0015,0.0295,0.0313
810,-0.2249,-0.0120,9.6263,6.4364,-0.0038,0.0266,0.0273
820,-0.2847,-0.0024,9.6096,6.3875,-0.0023,0.0272,0.0273
830,-0.2273,-0.0335,9.6742,6.4199,-0.0081,0.0273,0.0321
840,-0.2560,-0.0455,9.6407,6.3544,-0.0012,0.0308,0.0302
850,-0.2536,-0.0048,9.6215,6.3036,-0.0041,0.0247,0.0301
860,-0.2345,-0.0215,9.6694,6.3197,-0.0015,0.0283,0.0312
870,-0.2489,-0.0191,9.6263,6.2453,-0.0021,0.0279,0.0301
880,-0.2489,-0.0479,9.6168,6.2045,0.0002,0.0202,0.0286
890,-0.2584,-0.0287,9.6335,6.1902,-0.0050,0.0275,0.0313
900,-0.2824,-0.0215,9.6598,6.1854,-0.0026,0.0266,0.0296
910,-0.2536,-0.0263,9.6526,6.1473,-0.0053,0.0208,0.0301
920,-0.2369,-0.0335,9.6024,6.0666,-0.0049,0.0235,0.0307
930,-0.2225,-0.0120,9.6622,6.0958,-0.0034,0.0246,0.0264
940,-0.2465,-0.0359,9.6263,6.0296,-0.0043,0.0284,0.0284
950,-0.2608,-0.0311,9.6191,5.9923,-0.0009,0.0292,0.0261
960,-0.2800,-0.0263,9.6263,5.9695,-0.0032,0.0235,0.0292
970,-0.2321,-0.0215,9.6455,5.9587,-0.0046,0.0289,0.0273
980,-0.2728,-0.0263,9.6766,5.9598,-0.0024,0.0286,0.0286
990,-0.2345,-0.0287,9.6694,5.9229,-0.0034,0.0292,0.0293
1000,-0.2201,-0.0311,9.6646,5.8885,-0.0046,0.0272,0.0296
1145,-0.2608,-0.0407,9.6072,5.8019,-0.0015,0.0247,0.0279
