# ATP-5 SD Integrity Test
timestamp_ms,ax,ay,az_raw,az_filt,gx,gy,gz
14,-0.1316,-0.0550,9.3751,9.3282,0.0044,0.0261,0.0415
28,-0.1125,-0.0407,9.4588,9.3649,0.0086,0.0223,0.0408
42,-0.1292,-0.0790,9.3942,9.2538,0.0108,0.0269,0.0417
56,-0.0766,-0.0670,9.4205,9.2337,0.0046,0.0264,0.0426
70,-0.0957,-0.1005,9.4373,9.2042,0.0061,0.0264,0.0406
84,-0.1101,-0.0407,9.4445,9.1653,0.0053,0.0250,0.0420
98,-0.0502,-0.0670,9.4373,9.1124,0.0089,0.0212,0.0432
112,-0.0718,-0.0981,9.4540,9.0835,0.0079,0.0235,0.0431
126,-0.0766,-0.0646,9.4708,9.0547,0.0064,0.0234,0.0429
140,-0.1292,-0.0790,9.4756,9.0142,0.0075,0.0235,0.0388
154,-0.1053,-0.0837,9.4421,8.9358,0.0099,0.0246,0.0403
168,-0.1005,-0.0646,9.4397,8.8887,0.0041,0.0270,0.0409
182,-0.0861,-0.0670,9.4732,8.8776,0.0058,0.0174,0.0429
196,-0.1388,-0.0694,9.5019,8.8618,0.0072,0.0209,0.0414
210,-0.0814,-0.1149,9.4540,8.7699,0.0079,0.0235,0.0425
224,-0.1149,-0.0622,9.4110,8.6832,0.0049,0.0240,0.0396
238,-0.1220,-0.0885,9.4493,8.6778,0.0055,0.0243,0.0415
252,-0.1101,-0.0646,9.4612,8.6464,0.0057,0.0252,0.0415
266,-0.1412,-0.1005,9.5019,8.6436,0.0046,0.0261,0.0443
280,-0.1172,-0.0766,9.4229,8.5218,0.0053,0.0232,0.0396
294,-0.0909,-0.0742,9.5043,8.5602,0.0108,0.0209,0.0428
308,-0.1005,-0.0861,9.5186,8.5316,0.0034,0.0249,0.0417
322,-0.1005,-0.0885,9.5139,8.4842,0.0069,0.0275,0.0432
336,-0.0933,-0.1053,9.4804,8.4085,0.0098,0.0281,0.0421
350,-0.1005,-0.0861,9.5186,8.4045,0.0069,0.0247,0.0464
364,-0.0718,-0.0742,9.4660,8.3101,0.0057,0.0261,0.0405
378,-0.0981,-0.0837,9.5091,8.3114,0.0021,0.0212,0.0411
392,-0.1029,-0.0885,9.4899,8.2508,0.0050,0.0269,0.0415
406,-0.0981,-0.0957,9.4971,8.2167,0.0064,0.0206,0.0402
420,-0.0885,-0.1053,9.5306,8.2090,0.0053,0.0228,0.0437
434,-0.1005,-0.0981,9.5354,8.1727,0.0060,0.0223,0.0431
448,-0.1005,-0.1220,9.5521,8.1485,0.0057,0.0214,0.0434
462,-0.0790,-0.0718,9.5019,8.0577,0.0078,0.0270,0.0441
476,-0.1053,-0.1005,9.5115,8.0270,0.0104,0.0232,0.0415
490,-0.0909,-0.0598,9.5474,8.0225,0.0101,0.0267,0.0418
504,-0.0981,-0.1149,9.5545,7.9896,0.0078,0.0247,0.0405
520,-0.0933,-0.0598,9.5234,7.9187,0.0093,0.0254,0.0421
532,-0.0933,-0.0718,9.5474,7.9029,0.0093,0.0258,0.0418
546,-0.1196,-0.0550,9.5665,7.8824,0.0098,0.0241,0.0434
560,-0.1077,-0.0646,9.5115,7.7883,0.0095,0.0278,0.0402
574,-0.0742,-0.0790,9.5402,7.7779,0.0081,0.0267,0.0443
588,-0.0670,-0.0670,9.5713,7.7699,0.0052,0.0243,0.0394
602,-0.1149,-0.0670,9.5402,7.7001,0.0087,0.0276,0.0402
616,-0.0790,-0.0837,9.5450,7.6664,0.0079,0.0247,0.0432
630,-0.1053,-0.1029,9.5091,7.5924,0.0079,0.0264,0.0437
644,-0.0814,-0.0957,9.5809,7.6258,0.0084,0.0218,0.0447
658,-0.0814,-0.0455,9.5904,7.5972,0.0082,0.0270,0.0432
672,-0.0957,-0.0790,9.5713,7.5402,0.0087,0.0266,0.0403
686,-0.1268,-0.0670,9.5402,7.4715,0.0064,0.0273,0.0409
700,-0.1149,-0.0861,9.5569,7.4508,0.0070,0.0206,0.0431
714,-0.1149,-0.0742,9.5856,7.4422,0.0067,0.0237,0.0438
728,-0.0837,-0.0885,9.5737,7.3930,0.0092,0.0237,0.0406
742,-0.0933,-0.0909,9.5498,7.3323,0.0058,0.0215,0.0423
756,-0.1101,-0.0742,9.5617,7.3075,0.0076,0.0286,0.0431
770,-0.0909,-0.0694,9.5593,7.2686,0.0089,0.0267,0.0449
784,-0.0981,-0.0574,9.5737,7.2465,0.0060,0.0270,0.0425
798,-0.0981,-0.0622,9.6000,7.2365,0.0102,0.0238,0.0412
812,-0.0957,-0.0814,9.5498,7.1503,0.0064,0.0241,0.0411
826,-0.1077,-0.0861,9.6239,7.1884,0.0057,0.0246,0.0406
840,-0.0909,-0.0766,9.6120,7.1405,0.0067,0.0266,0.0443
854,-0.1149,-0.0718,9.6168,7.1096,0.0104,0.0226,0.0428
868,-0.0933,-0.0526,9.5665,7.0240,0.0076,0.0223,0.0411
882,-0.1053,-0.0933,9.5737,6.9961,0.0116,0.0250,0.0443
896,-0.0718,-0.0790,9.6359,7.0230,0.0063,0.0281,0.0447
910,-0.1101,-0.0909,9.5904,6.9426,0.0070,0.0241,0.0437
924,-0.1053,-0.0814,9.5952,6.9127,0.0044,0.0226,0.0409
938,-0.0718,-0.0885,9.6120,6.8948,0.0060,0.0286,0.0440
952,-0.1125,-0.0455,9.5785,6.8270,0.0076,0.0255,0.0417
966,-0.0981,-0.0742,9.6335,6.8476,0.0089,0.0267,0.0435
980,-0.0670,-0.0694,9.6263,6.8062,0.0064,0.0223,0.0405
994,-0.0933,-0.0622,9.5498,6.6960,0.0102,0.0228,0.0431
1008,-0.0885,-0.0885,9.5665,6.6792,0.0044,0.0292,0.0437
1024,-0.0718,-0.1436,9.6168,6.6958,0.0115,0.0243,0.0437
1036,-0.0885,-0.0766,9.5928,6.6385,0.0093,0.0252,0.0406
1050,-0.0790,-0.0885,9.6024,6.6148,0.0111,0.0276,0.0425
1064,-0.1244,-0.0957,9.6168,6.5960,0.0101,0.0272,0.0418
1078,-0.1125,-0.0574,9.6311,6.5774,0.0061,0.0273,0.0428
1092,-0.1244,-0.0981,9.5904,6.5040,0.0113,0.0224,0.0437
1106,-0.1340,-0.0455,9.6024,6.4834,0.0111,0.0269,0.0423
1120,-0.0837,-0.0718,9.5785,6.4271,0.0090,0.0272,0.0429
1134,-0.0742,-0.0598,9.6455,6.4617,0.0073,0.0244,0.0414
1148,-0.0550,-0.0670,9.6287,6.4127,0.0076,0.0232,0.0446
1162,-0.0909,-0.1077,9.6335,6.3854,0.0104,0.0250,0.0452
1176,-0.0957,-0.0933,9.6000,6.3201,0.0108,0.0231,0.0420
1190,-0.1220,-0.0646,9.6263,6.3147,0.0102,0.0226,0.0446
1204,-0.1101,-0.0957,9.6383,6.2951,0.0082,0.0250,0.0409
1218,-0.1149,-0.0837,9.6215,6.2469,0.0089,0.0229,0.0440
1232,-0.1101,-0.0933,9.6431,6.2371,0.0075,0.0231,0.0414
1246,-0.1101,-0.0933,9.6503,6.2131,0.0061,0.0257,0.0454
1260,-0.1077,-0.0766,9.6311,6.1630,0.0084,0.0310,0.0428
1274,-0.1101,-0.0957,9.5952,6.0964,0.0072,0.0240,0.0403
1288,-0.0861,-0.0670,9.6455,6.1159,0.0078,0.0229,0.0451
1302,-0.1077,-0.0718,9.6503,6.0901,0.0090,0.0266,0.0403
1316,-0.0790,-0.0598,9.6239,6.0335,0.0098,0.0292,0.0431
1330,-0.0766,-0.0885,9.6191,5.9986,0.0079,0.0252,0.0434
1344,-0.1053,-0.0814,9.6239,5.9733,0.0115,0.0281,0.0438
1358,-0.1340,-0.0718,9.6646,5.9839,0.0087,0.0261,0.0389
1372,-0.1172,-0.0837,9.6215,5.9112,0.0079,0.0257,0.0441
1386,-0.0909,-0.0957,9.6335,5.8935,0.0061,0.0266,0.0421
1400,-0.1029,-0.0861,9.6550,5.8855,0.0102,0.0209,0.0420
1414,-0.1316,-0.0957,9.6407,5.8418,0.0095,0.0257,0.0403
1428,-0.1053,-0.1029,9.6120,5.7840,0.0110,0.0273,0.0429
1442,-0.0814,-0.0646,9.6407,5.7836,0.0125,0.0238,0.0405
1456,-0.0957,-0.0861,9.6287,5.7428,0.0089,0.0232,0.0414
1470,-0.1005,-0.0359,9.6383,5.7236,0.0110,0.0252,0.0423
1484,-0.1077,-0.0790,9.6885,5.7450,0.0081,0.0287,0.0418
1498,-0.1005,-0.0837,9.6024,5.6306,0.0090,0.0249,0.0449
1512,-0.1149,-0.0622,9.6503,5.6500,0.0041,0.0241,0.0449
1529,-0.0981,-0.0837,9.6526,5.6242,0.0079,0.0273,0.0420
1540,-0.0766,-0.0814,9.6479,5.5913,0.0090,0.0278,0.0441
1554,-0.0694,-0.0861,9.6790,5.5943,0.0075,0.0270,0.0441
1568,-0.0837,-0.0742,9.6814,5.5687,0.0101,0.0246,0.0428
1582,-0.0957,-0.1196,9.6431,5.5027,0.0113,0.0293,0.0438
1596,-0.0742,-0.1172,9.6742,5.5062,0.0086,0.0267,0.0428
1610,-0.0814,-0.0981,9.6503,5.4548,0.0089,0.0252,0.0417
1624,-0.0742,-0.0670,9.6311,5.4085,0.0102,0.0266,0.0426
1638,-0.1029,-0.1005,9.6407,5.3910,0.0107,0.0261,0.0431
1652,-0.1101,-0.1005,9.6287,5.3521,0.0124,0.0267,0.0420
1666,-0.1364,-0.0646,9.6646,5.3611,0.0087,0.0232,0.0441
1680,-0.0814,-0.0718,9.6287,5.2986,0.0069,0.0273,0.0411
1694,-0.0933,-0.0550,9.5928,5.2364,0.0081,0.0252,0.0428
1708,-0.1220,-0.0909,9.6694,5.2864,0.0082,0.0257,0.0403
1722,-0.1005,-0.0981,9.6861,5.2766,0.0067,0.0252,0.0443
1736,-0.0981,-0.0790,9.6455,5.2098,0.0063,0.0258,0.0428
1750,-0.0933,-0.0909,9.6957,5.2337,0.0081,0.0249,0.0418
1764,-0.0933,-0.0909,9.6503,5.1623,0.0104,0.0272,0.0423
1778,-0.0933,-0.1196,9.7029,5.1889,0.0053,0.0238,0.0409
1792,-0.0981,-0.1029,9.6550,5.1153,0.0113,0.0241,0.0380
1806,-0.1029,-0.1053,9.6838,5.1183,0.0061,0.0229,0.0420
1820,-0.1125,-0.0909,9.6455,5.0546,0.0087,0.0255,0.0392
1834,-0.1388,-0.0766,9.6622,5.0460,0.0084,0.0234,0.0389
1848,-0.1101,-0.0718,9.6790,5.0374,0.0081,0.0272,0.0396
1862,-0.0814,-0.0526,9.7053,5.0384,0.0104,0.0211,0.0423
1876,-0.1053,-0.0885,9.6503,4.9585,0.0073,0.0231,0.0403
1890,-0.0981,-0.0885,9.6215,4.9051,0.0063,0.0238,0.0428
1904,-0.0622,-0.1053,9.7149,4.9735,0.0076,0.0243,0.0443
1918,-0.0766,-0.1005,9.7077,4.9414,0.0090,0.0254,0.0446
1932,-0.1196,-0.0957,9.6838,4.8929,0.0108,0.0263,0.0420
1946,-0.0933,-0.0670,9.6000,4.7851,0.0099,0.0266,0.0425
1960,-0.0814,-0.1005,9.6790,4.8398,0.0090,0.0267,0.0399
1974,-0.1077,-0.0574,9.6814,4.8180,0.0096,0.0260,0.0408
1988,-0.1172,-0.0622,9.6838,4.7963,0.0079,0.0269,0.0434
2002,-0.1484,-0.0814,9.6766,4.7651,0.0073,0.0263,0.0418
2016,-0.1340,-0.1053,9.6550,4.7199,0.0133,0.0276,0.0417
2031,-0.1220,-0.0861,9.6790,4.7201,0.0084,0.0252,0.0411
2044,-0.0622,-0.0646,9.6861,4.7036,0.0079,0.0205,0.0418
2058,-0.0837,-0.0885,9.6455,4.6396,0.0107,0.0206,0.0411
2072,-0.0670,-0.0957,9.6622,4.6331,0.0081,0.0286,0.0409
2086,-0.0718,-0.0694,9.6335,4.5814,0.0086,0.0254,0.0412
2100,-0.0909,-0.0909,9.6646,4.5894,0.0087,0.0240,0.0443
2114,-0.1029,-0.0550,9.6981,4.5998,0.0102,0.0257,0.0432
2128,-0.0814,-0.0526,9.6718,4.5506,0.0102,0.0258,0.0434
2142,-0.1101,-0.0885,9.6790,4.5350,0.0072,0.0304,0.0423
2158,-0.0622,-0.0670,9.7077,4.5409,0.0087,0.0255,0.0428
2170,-0.0790,-0.0790,9.6526,4.4634,0.0058,0.0269,0.0426
2184,-0.0718,-0.1005,9.6861,4.4744,0.0058,0.0244,0.0402
2198,-0.1005,-0.1292,9.7005,4.4664,0.0087,0.0208,0.0412
2212,-0.1149,-0.1340,9.6742,4.4178,0.0115,0.0287,0.0385
2226,-0.1292,-0.0909,9.6885,4.4100,0.0090,0.0249,0.0429
2240,-0.0837,-0.0909,9.6814,4.3808,0.0057,0.0273,0.0421
2254,-0.1125,-0.0622,9.7125,4.3899,0.0064,0.0260,0.0420
2268,-0.1244,-0.0646,9.6766,4.3322,0.0115,0.0281,0.0444
2282,-0.1196,-0.0550,9.6814,4.3153,0.0067,0.0243,0.0434
2296,-0.0766,-0.0646,9.6933,4.3057,0.0087,0.0250,0.0434
2310,-0.0814,-0.0646,9.7316,4.3222,0.0057,0.0252,0.0443
2324,-0.1101,-0.0766,9.5880,4.1578,0.0092,0.0258,0.0438
2338,-0.0766,-0.0479,9.6239,4.1727,0.0086,0.0250,0.0412
2352,-0.0885,-0.1172,9.9565,4.4828,0.0095,0.0223,0.0438
2366,-0.1244,-0.0311,9.5186,4.0246,0.0057,0.0249,0.0425
2380,-0.1172,-0.0718,9.7866,4.2712,0.0098,0.0258,0.0435
2394,-0.1053,-0.0431,9.7412,4.2046,0.0040,0.0252,0.0409
2408,-0.1651,-0.0766,9.7292,4.1717,0.0116,0.0272,0.0447
2422,-0.1507,-0.0718,9.6359,4.0579,0.0081,0.0273,0.0423
2436,-0.1101,-0.0550,9.6766,4.0781,0.0049,0.0257,0.0414
2450,-0.0933,-0.0742,9.6981,4.0792,0.0082,0.0200,0.0438
2464,-0.0742,-0.0502,9.7508,4.1112,0.0104,0.0278,0.0437
2478,-0.0479,-0.0359,9.7460,4.0858,0.0089,0.0237,0.0446
2492,-0.0407,-0.0790,9.6790,3.9987,0.0087,0.0261,0.0406
2506,-0.0694,-0.0335,9.7244,4.0240,0.0086,0.0261,0.0435
2520,-0.0646,-0.0455,9.7149,3.9943,0.0086,0.0232,0.0421
2535,-0.0718,-0.0431,9.6814,3.9410,0.0107,0.0247,0.0417
2548,-0.1149,-0.0790,9.7436,3.9832,0.0069,0.0252,0.0423
2562,-0.1412,-0.0598,9.6694,3.8895,0.0093,0.0283,0.0403
2576,-0.1507,-0.0790,9.6838,3.8843,0.0113,0.0247,0.0420
2590,-0.0861,-0.0718,9.6718,3.8530,0.0070,0.0238,0.0432
2604,-0.0742,-0.1053,9.6503,3.8123,0.0090,0.0298,0.0420
2618,-0.1364,-0.0885,9.7340,3.8766,0.0038,0.0278,0.0429
2632,-0.0718,-0.1077,9.7005,3.8239,0.0108,0.0212,0.0418
2646,-0.1053,-0.0837,9.6790,3.7833,0.0098,0.0234,0.0418
2660,-0.0909,-0.0670,9.7173,3.8025,0.0073,0.0252,0.0417
2674,-0.0981,-0.0957,9.6957,3.7621,0.0079,0.0313,0.0417
2688,-0.0574,-0.0574,9.6526,3.7004,0.0072,0.0254,0.0415
2702,-0.0526,-0.0359,9.6933,3.7224,0.0125,0.0254,0.0435
2716,-0.1053,-0.0885,9.7173,3.7276,0.0111,0.0292,0.0405
2730,-0.0479,-0.0766,9.6718,3.6637,0.0102,0.0275,0.0408
2744,-0.1172,-0.0646,9.6335,3.6073,0.0069,0.0252,0.0415
2758,-0.0790,-0.0909,9.6814,3.6369,0.0090,0.0281,0.0420
2772,-0.1244,-0.0981,9.7292,3.6663,0.0070,0.0235,0.0444
2786,-0.1149,-0.0766,9.7531,3.6718,0.0076,0.0254,0.0412
2800,-0.1220,-0.0909,9.7460,3.6463,0.0073,0.0229,0.0432
2814,-0.1125,-0.0718,9.7747,3.6566,0.0140,0.0246,0.0418
2828,-0.0790,-0.0359,9.7627,3.6264,0.0081,0.0235,0.0447
2842,-0.1053,-0.0622,9.6335,3.4797,0.0087,0.0283,0.0434
2856,-0.0694,-0.0311,9.7149,3.5433,0.0075,0.0244,0.0432
2870,-0.0766,-0.0431,9.6766,3.4875,0.0086,0.0275,0.0440
2884,-0.0574,-0.0742,9.7101,3.5034,0.0133,0.0284,0.0415
2898,-0.0790,-0.0431,9.7292,3.5049,0.0082,0.0235,0.0408
2912,-0.1292,-0.0742,9.6838,3.4421,0.0089,0.0246,0.0444
2926,-0.1196,-0.1053,9.6861,3.4273,0.0096,0.0284,0.0405
2940,-0.1436,-0.1029,9.6933,3.4173,0.0067,0.0276,0.0466
2954,-0.1125,-0.1005,9.7244,3.4312,0.0115,0.0217,0.0467
2968,-0.0981,-0.1244,9.7268,3.4164,0.0079,0.0283,0.0423
2982,-0.0694,-0.1053,9.7149,3.3874,0.0075,0.0243,0.0460
2996,-0.1196,-0.0742,9.6526,3.3086,0.0142,0.0247,0.0409
3010,-0.1699,-0.0622,9.7508,3.3897,0.0125,0.0221,0.0446
3024,-0.1364,-0.0766,9.7053,3.3275,0.0081,0.0283,0.0415
3039,-0.0790,-0.0718,9.7149,3.3204,0.0078,0.0275,0.0426
3052,-0.0718,-0.0335,9.6957,3.2847,0.0092,0.0244,0.0423
3066,-0.1077,-0.0455,9.7292,3.3016,0.0092,0.0254,0.0431
3080,-0.0526,-0.1077,9.7292,3.2851,0.0090,0.0255,0.0414
3094,-0.0455,-0.0550,9.6838,3.2234,0.0087,0.0246,0.0418
3108,-0.0981,-0.0909,9.7196,3.2430,0.0098,0.0249,0.0452
3122,-0.0814,-0.0837,9.6407,3.1483,0.0101,0.0252,0.0438
3136,-0.1149,-0.1149,9.6981,3.1897,0.0095,0.0240,0.0414
3150,-0.1460,-0.0622,9.7292,3.2047,0.0081,0.0261,0.0397
3164,-0.1077,-0.0814,9.6766,3.1363,0.0066,0.0258,0.0449
3178,-0.1340,-0.1101,9.6981,3.1420,0.0076,0.0261,0.0414
3192,-0.1029,-0.0837,9.7053,3.1334,0.0079,0.0258,0.0405
3206,-0.1125,-0.0957,9.6694,3.0821,0.0139,0.0223,0.0397
3220,-0.1005,-0.0957,9.7125,3.1095,0.0078,0.0281,0.0389
3234,-0.0502,-0.0933,9.6814,3.0630,0.0069,0.0220,0.0414
3248,-0.0742,-0.1364,9.7268,3.0929,0.0072,0.0275,0.0403
3262,-0.0837,-0.0742,9.7795,3.1298,0.0076,0.0247,0.0415
3276,-0.0885,-0.0814,9.7364,3.0713,0.0076,0.0247,0.0421
3290,-0.1172,-0.0742,9.6335,2.9536,0.0078,0.0281,0.0405
3304,-0.1005,-0.0814,9.7316,3.0364,0.0095,0.0278,0.0411
3318,-0.0933,-0.0766,9.6503,2.9403,0.0107,0.0272,0.0452
3332,-0.1268,-0.0909,9.7436,3.0185,0.0066,0.0258,0.0389
3346,-0.0981,-0.1292,9.7388,2.9986,0.0081,0.0243,0.0400
3360,-0.0861,-0.1292,9.7196,2.9646,0.0116,0.0258,0.0434
3374,-0.1101,-0.1196,9.7412,2.9712,0.0095,0.0290,0.0434
3388,-0.0694,-0.1029,9.7244,2.9397,0.0099,0.0279,0.0432
3402,-0.1029,-0.0718,9.7340,2.9345,0.0072,0.0266,0.0443
3416,-0.0861,-0.0814,9.6766,2.8627,0.0053,0.0249,0.0392
3430,-0.1412,-0.0742,9.7316,2.9031,0.0092,0.0261,0.0399
3444,-0.1005,-0.0598,9.7244,2.8815,0.0070,0.0254,0.0435
3458,-0.0742,-0.0837,9.7077,2.8504,0.0108,0.0269,0.0429
3472,-0.0909,-0.0742,9.6670,2.7957,0.0076,0.0278,0.0420
3486,-0.0837,-0.0981,9.7364,2.8507,0.0058,0.0244,0.0415
3500,-0.0598,-0.1268,9.7077,2.8079,0.0127,0.0258,0.0420
3514,-0.1029,-0.1053,9.7101,2.7962,0.0081,0.0224,0.0447
3528,-0.0933,-0.1220,9.6766,2.7489,0.0064,0.0244,0.0452
3543,-0.1196,-0.1316,9.6766,2.7352,0.0090,0.0257,0.0440
3556,-0.1460,-0.0742,9.7484,2.7929,0.0095,0.0252,0.0455
3570,-0.0981,-0.0837,9.7077,2.7385,0.0073,0.0255,0.0437
3584,-0.0694,-0.0670,9.7196,2.7367,0.0122,0.0302,0.0415
