# ATP-5 SD Integrity Test
timestamp_ms,ax,ay,az_raw,az_filt,gx,gy,gz
10,-0.1866,0.0311,9.3846,9.3377,-0.0046,0.0250,0.0279
20,-0.2369,0.0287,9.3703,9.2768,-0.0012,0.0209,0.0296
30,-0.1819,0.0048,9.3823,9.2423,-0.0008,0.0257,0.0307
40,-0.2034,0.0311,9.4540,9.2675,-0.0060,0.0258,0.0284
50,-0.2536,0.0407,9.4899,9.2569,-0.0037,0.0229,0.0261
60,-0.2130,0.0096,9.4181,9.1392,-0.0029,0.0226,0.0324
70,-0.2225,0.0120,9.4205,9.0958,-0.0032,0.0284,0.0275
80,-0.2297,0.0263,9.3679,8.9980,-0.0029,0.0226,0.0287
90,-0.2393,0.0383,9.4564,9.0411,-0.0073,0.0247,0.0270
100,-0.2201,0.0431,9.5019,9.0411,-0.0032,0.0260,0.0287
110,-0.2201,0.0215,9.5282,9.0221,-0.0044,0.0235,0.0289
120,-0.2130,0.0072,9.5426,8.9913,-0.0046,0.0246,0.0284
130,-0.2393,0.0383,9.4421,8.8463,-0.0049,0.0226,0.0287
140,-0.2369,0.0167,9.4349,8.7949,-0.0011,0.0272,0.0290
150,-0.2082,0.0287,9.5019,8.8176,-0.0076,0.0257,0.0278
160,-0.2273,0.0024,9.5354,8.8069,-0.0029,0.0228,0.0281
170,-0.2201,0.0000,9.6168,8.8438,-0.0052,0.0231,0.0289
180,-0.2632,0.0287,9.4780,8.6615,-0.0072,0.0240,0.0264
190,-0.2393,0.0670,9.4756,8.6158,-0.0057,0.0220,0.0272
200,-0.1986,0.0000,9.4636,8.5608,-0.0050,0.0286,0.0293
210,-0.2034,0.0048,9.5019,8.5561,-0.0061,0.0215,0.0241
220,-0.2130,0.0431,9.5115,8.5228,-0.0050,0.0229,0.0296
230,-0.2393,0.0072,9.4995,8.4683,-0.0063,0.0238,0.0308
240,-0.2225,0.0479,9.5426,8.4688,-0.0038,0.0255,0.0296
250,-0.2058,0.0120,9.5210,8.4051,0.0014,0.0254,0.0287
260,-0.2177,0.0335,9.4756,8.3178,-0.0061,0.0252,0.0308
270,-0.2082,0.0502,9.5163,8.3167,-0.0050,0.0257,0.0250
280,-0.2441,0.0861,9.5282,8.2870,-0.0047,0.0224,0.0283
290,-0.2417,-0.0048,9.4875,8.2051,-0.0050,0.0250,0.0302
300,-0.2130,0.0120,9.4851,8.1617,0.0002,0.0215,0.0292
310,-0.2034,0.0479,9.4780,8.1137,-0.0024,0.0237,0.0258
320,-0.1938,0.0263,9.5545,8.1494,-0.0052,0.0221,0.0312
330,-0.2297,0.0550,9.5186,8.0729,0.0002,0.0235,0.0284
340,-0.2536,0.0120,9.4780,7.9921,-0.0020,0.0266,0.0249
350,-0.1866,0.0502,9.4995,7.9735,-0.0014,0.0281,0.0304
360,-0.2345,0.0383,9.5378,7.9718,-0.0027,0.0243,0.0284
370,-0.2225,0.0239,9.5737,7.9676,-0.0073,0.0223,0.0254
380,-0.2225,0.0455,9.5067,7.8611,-0.0034,0.0261,0.0283
390,-0.2058,0.0167,9.5043,7.8194,-0.0044,0.0261,0.0272
400,-0.2465,-0.0024,9.5713,7.8470,-0.0020,0.0231,0.0270
410,-0.2417,-0.0048,9.5569,7.7935,0.0008,0.0273,0.0296
420,-0.1866,0.0311,9.5163,7.7140,-0.0012,0.0260,0.0284
