# ATP-5 SD Integrity Test
timestamp_ms,ax,ay,az_raw,az_filt,gx,gy,gz
14,-0.0957,-0.1316,9.4660,9.4187,0.0012,0.0246,0.0331
28,-0.1029,-0.0574,9.4493,9.3549,0.0005,0.0246,0.0327
42,-0.0574,-0.0431,9.4421,9.3010,0.0009,0.0214,0.0321
56,-0.0837,-0.0814,9.3870,9.1997,0.0011,0.0223,0.0313
70,-0.1172,-0.0359,9.3703,9.1371,-0.0017,0.0214,0.0305
84,-0.1077,-0.0622,9.4086,9.1295,0.0018,0.0221,0.0345
98,-0.0766,-0.0742,9.4086,9.0838,-0.0008,0.0238,0.0334
112,-0.0670,-0.0837,9.4181,9.0479,-0.0015,0.0241,0.0290
126,-0.0837,-0.0479,9.4229,9.0075,-0.0006,0.0212,0.0321
140,-0.1172,-0.0957,9.4421,8.9815,0.0014,0.0212,0.0305
154,-0.0814,-0.0837,9.4780,8.9723,0.0041,0.0229,0.0330
168,-0.1101,-0.0622,9.4110,8.8608,-0.0011,0.0232,0.0334
182,-0.1460,-0.0718,9.4397,8.8450,0.0024,0.0243,0.0341
196,-0.0981,-0.0957,9.4660,8.8270,-0.0011,0.0214,0.0315
210,-0.1125,-0.0837,9.4804,8.7971,-0.0002,0.0235,0.0351
224,-0.1579,-0.0694,9.4397,8.7127,0.0020,0.0217,0.0354
238,-0.0790,-0.0646,9.4660,8.6953,-0.0003,0.0218,0.0327
252,-0.1244,-0.0861,9.4995,8.6852,-0.0003,0.0231,0.0342
266,-0.1101,-0.0574,9.4684,8.6108,0.0043,0.0215,0.0321
280,-0.1053,-0.0814,9.4828,8.5820,-0.0391,0.0244,0.0305
294,-0.0742,-0.0646,9.4947,8.5510,-0.0006,0.0247,0.0334
308,-0.0837,-0.0359,9.4660,8.4797,-0.0002,0.0217,0.0327
322,-0.0790,-0.0742,9.4588,8.4301,0.0002,0.0235,0.0328
336,-0.0885,-0.0479,9.5426,8.4713,0.0005,0.0235,0.0345
350,-0.1244,-0.0574,9.5306,8.4171,0.0003,0.0254,0.0308
364,-0.0694,-0.0622,9.4899,8.3345,0.0009,0.0221,0.0370
378,-0.0909,-0.0718,9.4708,8.2738,0.0002,0.0260,0.0333
392,-0.0598,-0.0766,9.5330,8.2943,0.0035,0.0209,0.0290
406,-0.1005,-0.0598,9.4828,8.2028,0.0029,0.0240,0.0325
420,-0.0598,-0.0646,9.4684,8.1475,0.0009,0.0224,0.0341
434,-0.0933,-0.1005,9.5067,8.1449,0.0021,0.0226,0.0336
448,-0.1053,-0.0885,9.5282,8.1256,0.0003,0.0278,0.0353
462,-0.1029,-0.0526,9.5210,8.0778,-0.0011,0.0257,0.0324
476,-0.1125,-0.0885,9.5019,8.0184,0.0044,0.0235,0.0341
490,-0.1077,-0.0766,9.5617,8.0378,0.0050,0.0241,0.0353
504,-0.0933,-0.0646,9.5521,7.9881,0.0008,0.0237,0.0312
518,-0.1340,-0.0574,9.5258,7.9220,0.0040,0.0205,0.0321
532,-0.0742,-0.0359,9.4923,7.8490,0.0026,0.0200,0.0319
546,-0.0933,-0.0814,9.5139,7.8312,0.0041,0.0202,0.0334
560,-0.1268,-0.0598,9.4732,7.7516,0.0023,0.0231,0.0322
574,-0.0981,-0.0766,9.5761,7.8152,0.0034,0.0266,0.0348
588,-0.0646,-0.1268,9.4995,7.7000,0.0023,0.0228,0.0313
602,-0.0694,-0.0790,9.5354,7.6972,0.0020,0.0208,0.0328
616,-0.1029,-0.0670,9.5569,7.6801,0.0012,0.0208,0.0327
630,-0.0550,-0.0742,9.5569,7.6417,0.0021,0.0234,0.0374
644,-0.0550,-0.0455,9.5545,7.6011,0.0014,0.0234,0.0348
658,-0.1172,-0.0383,9.5067,7.5155,0.0026,0.0258,0.0336
672,-0.0957,-0.0598,9.5976,7.5684,0.0063,0.0260,0.0312
686,-0.1316,-0.0670,9.5856,7.5186,0.0002,0.0224,0.0322
700,-0.1842,-0.0814,9.5378,7.4334,0.0006,0.0228,0.0322
714,-0.1507,-0.0981,9.5545,7.4129,-0.0018,0.0206,0.0341
728,-0.1675,-0.1077,9.6072,7.4282,0.0009,0.0205,0.0344
742,-0.1220,-0.0598,9.6239,7.4078,-0.0032,0.0249,0.0341
756,-0.1340,-0.0670,9.5713,7.3183,0.0015,0.0211,0.0312
770,-0.1196,-0.0933,9.4851,7.1960,0.0026,0.0218,0.0336
784,-0.0837,-0.0574,9.5976,7.2720,0.0024,0.0263,0.0328
798,-0.1077,-0.0550,9.5785,7.2166,-0.0005,0.0218,0.0353
812,-0.0790,-0.0814,9.5521,7.1543,0.0040,0.0240,0.0341
826,-0.0694,-0.0646,9.5665,7.1328,0.0029,0.0205,0.0298
840,-0.1149,-0.0861,9.5234,7.0543,-0.0006,0.0258,0.0305
854,-0.0790,-0.0909,9.6144,7.1095,0.0063,0.0218,0.0373
868,-0.1053,-0.0981,9.5880,7.0477,0.0024,0.0244,0.0324
882,-0.1555,-0.0670,9.5952,7.0196,0.0072,0.0214,0.0325
896,-0.1842,-0.0622,9.6239,7.0131,-0.0006,0.0231,0.0342
910,-0.1364,-0.0670,9.5833,6.9376,0.0021,0.0238,0.0351
924,-0.1101,-0.0191,9.5163,6.8362,0.0032,0.0267,0.0325
938,-0.1172,-0.0837,9.5426,6.8282,0.0388,0.0214,0.0339
952,-0.0694,-0.0359,9.5809,6.8322,0.0002,0.0263,0.0360
966,-0.0790,-0.0335,9.5761,6.7933,0.0021,0.0257,0.0353
980,-0.0598,-0.0933,9.6048,6.7879,0.0009,0.0240,0.0344
994,-0.0670,-0.1125,9.6072,6.7563,0.0050,0.0206,0.0351
1008,-0.0837,-0.0885,9.5952,6.7106,0.0037,0.0260,0.0318
1022,-0.0526,-0.0670,9.5593,6.6414,0.0006,0.0237,0.0324
1036,-0.0981,-0.0790,9.5785,6.6272,0.0006,0.0220,0.0338
1050,-0.0933,-0.0790,9.6263,6.6417,0.0046,0.0257,0.0325
1064,-0.1484,-0.0670,9.5833,6.5656,0.0024,0.0250,0.0342
1078,-0.1149,-0.0622,9.6168,6.5661,-0.0017,0.0215,0.0328
1092,-0.0981,-0.0550,9.6144,6.5309,0.0026,0.0203,0.0341
1106,-0.1531,-0.0670,9.6096,6.4935,0.0002,0.0243,0.0370
1120,-0.1244,-0.0407,9.6144,6.4658,0.0057,0.0243,0.0324
1134,-0.1053,-0.0526,9.6311,6.4501,0.0052,0.0212,0.0328
1148,-0.1316,-0.0526,9.6215,6.4084,0.0061,0.0238,0.0324
1162,-0.0742,-0.0766,9.6096,6.3644,0.0043,0.0179,0.0354
1176,-0.0861,-0.0981,9.5665,6.2897,0.0037,0.0234,0.0356
1190,-0.1101,-0.0957,9.6861,6.3773,0.0031,0.0232,0.0313
1204,-0.1149,-0.0766,9.5904,6.2502,0.0053,0.0211,0.0342
1218,-0.0670,-0.1077,9.5641,6.1928,0.0014,0.0281,0.0339
1232,-0.1149,-0.0646,9.6431,6.2404,0.0053,0.0243,0.0354
1246,-0.0885,-0.0718,9.6000,6.1663,0.0040,0.0258,0.0380
1260,-0.1268,-0.0455,9.6431,6.1783,0.0009,0.0229,0.0367
1274,-0.1053,-0.0431,9.6120,6.1165,0.0008,0.0264,0.0341
1288,-0.0670,-0.0407,9.6144,6.0883,0.0027,0.0202,0.0328
1302,-0.1005,-0.0981,9.6048,6.0483,0.0034,0.0217,0.0325
1316,-0.1101,-0.0502,9.6191,6.0324,0.0029,0.0215,0.0356
1330,-0.1029,-0.0718,9.5976,5.9808,0.0012,0.0260,0.0354
1344,-0.0670,-0.0957,9.5856,5.9390,0.0037,0.0234,0.0356
1358,-0.1340,-0.0574,9.5880,5.9117,0.0035,0.0217,0.0344
1372,-0.0981,-0.0574,9.6359,5.9297,-0.0021,0.0221,0.0328
1386,-0.0646,-0.0718,9.6814,5.9453,-0.0002,0.0264,0.0316
1400,-0.0670,-0.0909,9.6215,5.8561,0.0046,0.0240,0.0334
