timestamp_ms,ax,ay,az_raw,az_filt,gx,gy,gz,lat,lon
14,-0.7753,-0.1675,9.6287,9.5806,0.0108,0.0180,0.0501,0.000000,0.000000
28,-0.7872,-0.1507,9.6646,9.5684,0.0147,0.0211,0.0504,0.000000,0.000000
42,-0.7609,-0.1771,9.6526,9.5086,0.0110,0.0231,0.0493,0.000000,0.000000
56,-0.7561,-0.2154,9.6096,9.4182,0.0128,0.0197,0.0490,0.000000,0.000000
70,-0.7418,-0.1938,9.6072,9.3688,0.0104,0.0228,0.0460,0.000000,0.000000
84,-0.7513,-0.1603,9.6191,9.3338,0.0144,0.0208,0.0475,0.000000,0.000000
98,-0.7561,-0.1603,9.6239,9.2919,0.0180,0.0218,0.0469,-33.957771,18.461013
112,-0.7681,-0.1795,9.6072,9.2288,0.0113,0.0243,0.0452,-33.957771,18.461013
126,-0.8088,-0.1795,9.6000,9.1755,0.0134,0.0228,0.0473,-33.957771,18.461013
140,-0.7370,-0.1675,9.6670,9.1963,0.0098,0.0249,0.0490,-33.957771,18.461013
154,-0.7370,-0.1962,9.6144,9.0979,0.0133,0.0223,0.0473,-33.957771,18.461013
168,-0.7801,-0.1747,9.6335,9.0715,0.0081,0.0220,0.0452,-33.957771,18.461013
182,-0.7705,-0.1651,9.6311,9.0238,0.0151,0.0224,0.0486,-33.957771,18.461013
196,-0.7513,-0.1842,9.6263,8.9739,0.0087,0.0252,0.0449,-33.957771,18.461013
210,-0.7585,-0.1795,9.6957,8.9980,0.0137,0.0238,0.0466,-33.957771,18.461013
224,-0.7681,-0.1603,9.6790,8.9364,0.0096,0.0211,0.0446,-33.957771,18.461013
238,-0.7609,-0.2034,9.6072,8.8203,0.0115,0.0203,0.0496,-33.957771,18.461013
252,-0.7466,-0.1723,9.6072,8.7762,0.0118,0.0237,0.0493,-33.957771,18.461013
266,-0.7801,-0.1747,9.6144,8.7394,0.0087,0.0238,0.0507,-33.957771,18.461013
280,-0.7681,-0.1723,9.6479,8.7291,0.0153,0.0226,0.0461,-33.957771,18.461013
294,-0.7705,-0.2058,9.6503,8.6878,0.0125,0.0211,0.0467,-33.957771,18.461013
308,-0.7777,-0.1747,9.6215,8.6158,0.0119,0.0217,0.0461,-33.957771,18.461013
322,-0.7561,-0.1842,9.6479,8.5989,0.0099,0.0252,0.0444,-33.957771,18.461013
336,-0.7657,-0.1484,9.6503,8.5583,0.0133,0.0270,0.0475,-33.957771,18.461013
350,-0.7801,-0.1819,9.6024,8.4679,0.0137,0.0229,0.0463,-33.957771,18.461013
364,-0.7753,-0.1675,9.6574,8.4803,0.0124,0.0205,0.0483,-33.957771,18.461013
378,-0.7513,-0.2010,9.5856,8.3665,0.0151,0.0228,0.0469,-33.957771,18.461013
392,-0.7490,-0.1627,9.5976,8.3366,0.0113,0.0229,0.0484,-33.957771,18.461013
406,-0.7370,-0.1795,9.6000,8.2973,0.0139,0.0240,0.0505,-33.957771,18.461013
420,-0.7657,-0.1771,9.6359,8.2915,0.0115,0.0244,0.0463,-33.957771,18.461013
434,-0.7633,-0.1771,9.6024,8.2167,0.0136,0.0203,0.0484,-33.957771,18.461013
448,-0.7394,-0.1627,9.6144,8.1875,0.0121,0.0206,0.0492,-33.957771,18.461013
462,-0.7920,-0.1795,9.6503,8.1823,0.0153,0.0229,0.0489,-33.957771,18.461013
476,-0.7705,-0.1579,9.5976,8.0890,0.0092,0.0238,0.0481,-33.957771,18.461013
490,-0.7801,-0.1555,9.6120,8.0628,0.0160,0.0231,0.0446,-33.957771,18.461013
504,-0.7753,-0.1723,9.6191,8.0297,0.0145,0.0194,0.0492,-33.957771,18.461013
518,-0.7801,-0.1675,9.5952,7.9657,0.0104,0.0214,0.0487,-33.957771,18.461013
532,-0.7705,-0.1842,9.5976,7.9283,0.0116,0.0218,0.0483,-33.957771,18.461013
546,-0.7777,-0.1723,9.6072,7.8981,0.0113,0.0217,0.0489,-33.957771,18.461013
560,-0.7513,-0.1819,9.5689,7.8206,0.0122,0.0237,0.0473,-33.957771,18.461013
574,-0.7729,-0.1914,9.5952,7.8076,0.0098,0.0217,0.0481,-33.957771,18.461013
588,-0.7585,-0.1531,9.6287,7.8019,0.0139,0.0247,0.0452,-33.957771,18.461013
602,-0.7729,-0.1699,9.5904,7.7248,0.0102,0.0208,0.0463,-33.957771,18.461013
616,-0.7657,-0.1651,9.6431,7.7386,0.0130,0.0234,0.0487,-33.957771,18.461013
630,-0.7585,-0.2034,9.5569,7.6142,0.0099,0.0241,0.0438,-33.957771,18.461013
644,-0.7777,-0.1531,9.5928,7.6118,0.0130,0.0202,0.0454,-33.957771,18.461013
658,-0.7729,-0.2106,9.6263,7.6071,0.0089,0.0224,0.0460,-33.957771,18.461013
672,-0.7729,-0.1795,9.6048,7.5476,0.0139,0.0211,0.0484,-33.957771,18.461013
686,-0.7729,-0.1460,9.6263,7.5313,0.0154,0.0205,0.0484,-33.957771,18.461013
700,-0.7418,-0.1890,9.5617,7.4294,0.0119,0.0226,0.0452,-33.957771,18.461013
714,-0.7609,-0.1603,9.6287,7.4589,0.0113,0.0264,0.0486,-33.957771,18.461013
728,-0.7490,-0.1555,9.6000,7.3930,0.0110,0.0226,0.0487,-33.957771,18.461013
742,-0.8040,-0.1723,9.6383,7.3942,0.0168,0.0221,0.0480,-33.957771,18.461013
756,-0.7681,-0.1675,9.5665,7.2858,0.0095,0.0241,0.0489,-33.957771,18.461013
770,-0.7513,-0.1986,9.5474,7.2303,0.0089,0.0235,0.0455,-33.957771,18.461013
784,-0.7513,-0.1555,9.5928,7.2394,0.0111,0.0209,0.0490,-33.957771,18.461013
798,-0.7537,-0.1842,9.6455,7.2556,0.0111,0.0241,0.0502,-33.957771,18.461013
812,-0.7537,-0.1747,9.5521,7.1264,0.0116,0.0235,0.0467,-33.957771,18.461013
826,-0.7681,-0.1842,9.6000,7.1384,0.0140,0.0223,0.0487,-33.957771,18.461013
840,-0.7633,-0.1938,9.5856,7.0884,0.0115,0.0249,0.0487,-33.957771,18.461013
854,-0.7777,-0.1699,9.5833,7.0506,0.0104,0.0218,0.0467,-33.957771,18.461013
868,-0.7657,-0.1627,9.5402,6.9725,0.0156,0.0270,0.0501,-33.957771,18.461013
882,-0.7729,-0.1747,9.5809,6.9781,0.0119,0.0240,0.0434,-33.957771,18.461013
896,-0.7609,-0.1866,9.5545,6.9170,0.0086,0.0240,0.0478,-33.957771,18.461013
910,-0.7513,-0.1507,9.5856,6.9134,0.0195,0.0203,0.0481,-33.957771,18.461013
924,-0.7490,-0.2058,9.5593,6.8527,0.0137,0.0191,0.0492,-33.957771,18.461013
938,-0.7729,-0.1579,9.5809,6.8398,0.0140,0.0209,0.0487,-33.957771,18.461013
952,-0.7825,-0.1723,9.5521,6.7770,0.0108,0.0235,0.0483,-33.957771,18.461013
966,-0.7609,-0.1986,9.5785,6.7694,0.0121,0.0249,0.0489,-33.957771,18.461013
980,-0.7729,-0.2010,9.5976,6.7546,0.0101,0.0208,0.0470,-33.957771,18.461011
994,-0.7705,-0.1723,9.5330,6.6565,0.0102,0.0247,0.0472,-33.957771,18.461011
1008,-0.7513,-0.1627,9.5689,6.6589,0.0140,0.0223,0.0498,-33.957771,18.461011
1022,-0.7561,-0.1819,9.5713,6.6280,0.0102,0.0234,0.0460,-33.957771,18.461011
1036,-0.7657,-0.1723,9.5952,6.6187,0.0127,0.0243,0.0476,-33.957771,18.461011
1050,-0.8064,-0.1579,9.5761,6.5665,0.0125,0.0221,0.0484,-33.957771,18.461011
1064,-0.7466,-0.1842,9.5833,6.5408,0.0111,0.0261,0.0463,-33.957771,18.461011
1078,-0.7346,-0.1579,9.5569,6.4820,0.0087,0.0209,0.0455,-33.957771,18.461011
1092,-0.7729,-0.1555,9.5665,6.4591,0.0133,0.0240,0.0473,-33.957771,18.461011
1106,-0.7537,-0.2106,9.5737,6.4339,0.0133,0.0241,0.0463,-33.957771,18.461011
1120,-0.7729,-0.1819,9.5617,6.3898,0.0124,0.0234,0.0464,-33.957771,18.461011
1134,-0.7848,-0.1723,9.5545,6.3508,0.0104,0.0171,0.0475,-33.957771,18.461011
1148,-0.7178,-0.1819,9.5354,6.3000,0.0140,0.0209,0.0495,-33.957771,18.461011
1162,-0.7777,-0.1866,9.5689,6.3018,0.0122,0.0177,0.0481,-33.957771,18.461011
1176,-0.7801,-0.1747,9.5904,6.2917,0.0087,0.0247,0.0481,-33.957771,18.461011
1190,-0.7944,-0.2082,9.5976,6.2674,0.0102,0.0228,0.0513,-33.957771,18.461011
1204,-0.7896,-0.1723,9.5139,6.1527,0.0079,0.0267,0.0481,-33.957771,18.461011
1218,-0.7490,-0.2130,9.6120,6.2196,0.0102,0.0244,0.0464,-33.957771,18.461011
1232,-0.7825,-0.1842,9.6024,6.1789,0.0093,0.0223,0.0452,-33.957771,18.461011
1246,-0.7705,-0.1579,9.5521,6.0981,0.0099,0.0221,0.0481,-33.957771,18.461011
1260,-0.7729,-0.1675,9.5809,6.0961,0.0125,0.0235,0.0467,-33.957771,18.461011
1274,-0.7370,-0.1795,9.5880,6.0728,0.0105,0.0221,0.0472,-33.957771,18.461011
1288,-0.7705,-0.1603,9.5928,6.0472,0.0154,0.0237,0.0476,-33.957771,18.461011
1302,-0.7944,-0.1842,9.5833,6.0074,0.0162,0.0254,0.0505,-33.957771,18.461011
1316,-0.7394,-0.1603,9.5186,5.9131,0.0124,0.0266,0.0464,-33.957771,18.461011
1330,-0.7848,-0.1914,9.5785,5.9431,0.0128,0.0217,0.0496,-33.957771,18.461011
1344,-0.7322,-0.1268,9.5545,5.8895,0.0156,0.0218,0.0455,-33.957771,18.461011
1358,-0.7537,-0.1819,9.5976,5.9030,0.0137,0.0250,0.0481,-33.957771,18.461011
1372,-0.7872,-0.1651,9.5737,5.8496,0.0082,0.0215,0.0480,-33.957771,18.461011
1386,-0.7394,-0.1819,9.5617,5.8085,0.0137,0.0221,0.0446,-33.957771,18.461011
1400,-0.7561,-0.1866,9.6000,5.8175,0.0121,0.0215,0.0521,-33.957771,18.461011
1414,-0.7729,-0.1555,9.5833,5.7718,0.0105,0.0217,0.0470,-33.957771,18.461011
1428,-0.7585,-0.1914,9.6000,5.7596,0.0079,0.0238,0.0466,-33.957771,18.461011
1442,-0.7609,-0.1938,9.5306,5.6617,0.0104,0.0226,0.0458,-33.957771,18.461011
1456,-0.7825,-0.1747,9.5809,5.6834,0.0153,0.0237,0.0472,-33.957771,18.461011
1470,-0.7657,-0.1866,9.5928,5.6669,0.0168,0.0238,0.0466,-33.957771,18.461011
1484,-0.7537,-0.2034,9.5545,5.6005,0.0096,0.0221,0.0452,-33.957771,18.461011
1498,-0.7896,-0.1795,9.5593,5.5772,0.0144,0.0223,0.0469,-33.957771,18.461011
1512,-0.7561,-0.1771,9.5952,5.5851,0.0108,0.0247,0.0449,-33.957771,18.461011
1526,-0.7513,-0.1723,9.5928,5.5548,0.0089,0.0252,0.0460,-33.957771,18.461011
1540,-0.7992,-0.1962,9.5928,5.5270,0.0096,0.0234,0.0463,-33.957771,18.461011
1554,-0.7872,-0.1723,9.5809,5.4875,0.0064,0.0232,0.0469,-33.957771,18.461011
1568,-0.7729,-0.1675,9.5833,5.4624,0.0119,0.0258,0.0449,-33.957771,18.461011
1582,-0.7681,-0.1842,9.5450,5.3970,0.0139,0.0231,0.0470,-33.957771,18.461011
1596,-0.7729,-0.1771,9.5426,5.3676,0.0101,0.0195,0.0486,-33.957771,18.461011
1610,-0.7753,-0.1771,9.6072,5.4051,0.0166,0.0195,0.0464,-33.957771,18.461011
1624,-0.7657,-0.1795,9.5282,5.2995,0.0095,0.0238,0.0490,-33.957771,18.461011
1638,-0.7657,-0.1771,9.5593,5.3039,0.0144,0.0215,0.0473,-33.957771,18.461011
1652,-0.7513,-0.1651,9.5880,5.3060,0.0110,0.0217,0.0472,-33.957771,18.461011
1666,-0.7705,-0.2010,9.5856,5.2771,0.0134,0.0244,0.0527,-33.957771,18.461011
1680,-0.7274,-0.1771,9.5402,5.2055,0.0121,0.0206,0.0486,-33.957771,18.461011
1694,-0.7657,-0.1507,9.5426,5.1818,0.0154,0.0217,0.0463,-33.957771,18.461011
1708,-0.7825,-0.1675,9.5402,5.1535,0.0105,0.0232,0.0461,-33.957771,18.461011
1722,-0.7490,-0.1890,9.5641,5.1516,0.0137,0.0205,0.0484,-33.957771,18.461011
1736,-0.7418,-0.2058,9.5856,5.1472,0.0145,0.0229,0.0469,-33.957771,18.461011
1750,-0.7537,-0.1866,9.6024,5.1382,0.0154,0.0203,0.0505,-33.957771,18.461011
1764,-0.7920,-0.1842,9.5569,5.0672,0.0122,0.0244,0.0446,-33.957771,18.461011
1778,-0.7609,-0.1890,9.5904,5.0752,0.0130,0.0272,0.0486,-33.957771,18.461011
1792,-0.7585,-0.1771,9.5521,5.0118,0.0144,0.0232,0.0495,-33.957771,18.461011
1806,-0.7777,-0.1699,9.5665,5.0010,0.0099,0.0243,0.0516,-33.957771,18.461011
1820,-0.7896,-0.1795,9.5354,4.9450,0.0113,0.0224,0.0463,-33.957771,18.461011
1834,-0.7418,-0.1771,9.5378,4.9227,0.0092,0.0234,0.0464,-33.957771,18.461011
1848,-0.7753,-0.2034,9.6096,4.9695,0.0124,0.0218,0.0441,-33.957771,18.461011
1862,-0.7609,-0.1507,9.5593,4.8947,0.0066,0.0232,0.0476,-33.957771,18.461011
1876,-0.7729,-0.1890,9.5761,4.8868,0.0111,0.0261,0.0493,-33.957771,18.461011
1890,-0.7681,-0.1795,9.5521,4.8386,0.0119,0.0234,0.0461,-33.957771,18.461011
1904,-0.7848,-0.1771,9.6000,4.8620,0.0116,0.0240,0.0493,-33.957771,18.461011
1918,-0.7370,-0.1603,9.5354,4.7734,0.0130,0.0231,0.0466,-33.957771,18.461011
1932,-0.7609,-0.1747,9.5928,4.8067,0.0140,0.0224,0.0455,-33.957771,18.461011
1946,-0.7442,-0.2082,9.5545,4.7446,0.0130,0.0228,0.0478,-33.957771,18.461011
1960,-0.7346,-0.1819,9.5402,4.7066,0.0086,0.0223,0.0487,-33.957771,18.461011
1974,-0.7585,-0.1962,9.5976,4.7402,0.0111,0.0232,0.0461,-33.957771,18.461011
1988,-0.7848,-0.1507,9.5880,4.7070,0.0098,0.0209,0.0457,-33.957771,18.461008
2002,-0.7466,-0.1747,9.5043,4.6001,0.0142,0.0237,0.0475,-33.957771,18.461008
2016,-0.7705,-0.1771,9.5880,4.6604,0.0108,0.0185,0.0458,-33.957771,18.461008
2030,-0.7872,-0.2082,9.5713,4.6204,0.0122,0.0218,0.0457,-33.957771,18.461008
2044,-0.7585,-0.1675,9.5641,4.5902,0.0144,0.0258,0.0483,-33.957771,18.461008
2058,-0.7801,-0.1890,9.5186,4.5220,0.0121,0.0189,0.0475,-33.957771,18.461008
2072,-0.7968,-0.1747,9.5593,4.5399,0.0096,0.0229,0.0469,-33.957771,18.461008
2086,-0.7705,-0.1938,9.5521,4.5100,0.0095,0.0228,0.0495,-33.957771,18.461008
2100,-0.7729,-0.1866,9.5761,4.5113,0.0144,0.0226,0.0457,-33.957771,18.461008
2114,-0.7657,-0.2010,9.6072,4.5197,0.0130,0.0224,0.0504,-33.957771,18.461008
2128,-0.7633,-0.1723,9.5665,4.4566,0.0128,0.0208,0.0498,-33.957771,18.461008
2142,-0.7705,-0.1436,9.5617,4.4296,0.0139,0.0224,0.0470,-33.957771,18.461008
2156,-0.7394,-0.1747,9.5474,4.3931,0.0104,0.0215,0.0460,-33.957771,18.461008
2170,-0.7490,-0.1986,9.5785,4.4021,0.0130,0.0238,0.0473,-33.957771,18.461008
2184,-0.8207,-0.1675,9.5378,4.3396,0.0092,0.0234,0.0472,-33.957771,18.461008
2198,-0.7490,-0.1866,9.5330,4.3132,0.0134,0.0200,0.0473,-33.957771,18.461008
2212,-0.7490,-0.2201,9.6000,4.3583,0.0139,0.0205,0.0490,-33.957771,18.461008
2226,-0.7801,-0.1531,9.5856,4.3222,0.0122,0.0263,0.0461,-33.957771,18.461008
