# ATP-8 30-Minute Endurance Test
timestamp_ms,ax,ay,az_raw,az_filt,gx,gy,gz,lat,lon
14,-0.4427,0.0766,9.6670,9.6187,0.0319,0.0440,0.0461,0.000000,0.000000
28,-0.4259,0.0598,9.6909,9.5944,0.0805,0.0733,0.0415,0.000000,0.000000
42,-0.4187,0.0670,9.7364,9.5916,0.1393,0.0962,0.0484,0.000000,0.000000
56,-0.4044,-0.0096,9.7627,9.5699,0.1688,0.1086,0.0466,0.000000,0.000000
70,-0.3709,-0.0861,9.8082,9.5673,0.0851,0.0985,0.0455,0.000000,0.000000
84,-0.2728,-0.0957,9.7938,9.5051,0.0591,0.0663,0.0452,0.000000,0.000000
98,-0.2656,-0.0814,9.8225,9.4862,0.0330,0.0334,0.0486,0.000000,0.000000
112,-0.3805,-0.0694,9.7699,9.3864,-0.0020,0.0064,0.0490,0.000000,0.000000
126,-0.4355,-0.0191,9.7651,9.3347,-0.0252,0.0107,0.0447,0.000000,0.000000
140,-0.3757,-0.6126,9.7196,9.2428,0.0084,0.0228,0.0463,0.000000,0.000000
154,-0.3733,-0.0120,9.7531,9.2299,0.0432,0.0382,0.0463,0.000000,0.000000
168,-0.3374,-0.0718,9.7531,9.1837,0.0402,0.0405,0.0481,0.000000,0.000000
182,-0.2871,-0.0981,9.7986,9.1831,0.0046,0.0202,0.0454,0.000000,0.000000
196,-0.3087,-0.0646,9.8010,9.1395,-0.0214,-0.0003,0.0466,0.000000,0.000000
210,-0.3374,-0.0311,9.7675,9.0605,-0.0551,-0.0154,0.0452,0.000000,0.000000
224,-0.3494,-0.0191,9.6742,8.9223,-0.0641,-0.0211,0.0461,0.000000,0.000000
238,-0.4116,0.0239,9.7531,8.9563,-0.0315,-0.0060,0.0469,0.000000,0.000000
252,-0.4666,0.0335,9.7101,8.8687,0.0003,0.0073,0.0513,0.000000,0.000000
266,-0.3613,-0.0048,9.6861,8.8005,0.0037,0.0208,0.0481,0.000000,0.000000
280,-0.4044,-0.0072,9.7795,8.8494,-0.0008,0.0189,0.0603,0.000000,0.000000
294,-0.3709,-0.0120,9.7890,8.8146,0.0009,0.0105,0.0649,0.000000,0.000000
308,-0.4451,-0.0120,9.7196,8.7015,-0.0003,0.0102,0.0586,0.000000,0.000000
322,-0.4235,0.0000,9.7244,8.6628,0.0006,0.0221,0.0544,0.000000,0.000000
